#,Element Name,Element Type,Element Sub-type,Element IDs,Cell line,Cell type,Organism,Tissue type,Location,Location ID,Element NOTES,,Variable,,,Positive Regulators,Positive Connection Type,Negative Regulators,Negative Connection Type
32,CDN2A,Protein family,"2A,1A","P42771,P38936",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,CDN2Apf_nucPCC,,,{CHK2pf_nucPCC}[CDN2Arna_nucPCC],"D,D","MUTCDN2Agene_nucPCC,MUTCDN2Agene_nucPCC","N/A,N/A"
33,CDN2A,mRNA,,"P42771,P38936",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,CDN2Arna_nucPCC,,,CDN2Agene_nucPCC,D,"MUTCDN2Agene_nucPCC,MUTCDN2Agene_nucPCC","N/A,N/A"
34,CDN2A,gene,,"P42771,P38936",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,CDN2Agene_nucPCC,,,ERKpf_nucPCC,D,"MUTCDN2Agene_nucPCC,MUTCDN2Agene_nucPCC","N/A,N/A"
35,CHK2,Protein family,"1,2","O96017,O14757",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,CHK2pf_nucPCC,,,{ATMpn_nucPCC}[CHK2rna_nucPCC],"I,D",,
36,CHK2,mRNA,,"O96017,O14757",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,CHK2rna_nucPCC,,,CHK2gene_nucPCC,D,,
37,CHK2,gene,,"O96017,O14757",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,CHK2gene_nucPCC,,,P53pn_nucPCC,D,,
38,CSF1,Protein family,"1,2","P09603,P04141",,,Human,Pancreas,extracellular,GO:0005576,,,CSF1pf_ex,,,,,,
39,CSF1R,Protein family,"1,2","P07333,P15509",,Macrophage,Human,Immune system,plasma membrane,GO:0005886,,,CSF1Rpf_memMAC,,,,,,
40,CSF1R_ACT,Protein family,,"P07333,P15509",,Macrophage,Human,Immune system,plasma membrane,GO:0005886,,,CSF1R_ACTpf_memMAC,,,,,,
41,DUSP13,Protein family,"13,14","Q9UII6,O95147",Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,DUSP13pf_cytoPCC,,,,,ROScf_cytoPCC,D
42,E2F,Protein family,"1,2,3","Q01094,Q1420,O0071",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,E2Fpf_nucPCC,,,CCND1pn_nucPCC,D,RBpn_nucPCC,D
43,EGF,Protein family,,"P01133,Q99075",,Pancreas,Human,Pancreas,extracellular,GO:0005576,,,EGFpf_ex,,,EGFrna_nucPCC,D,,
44,EGF,mRNA,,"P01133,Q99075",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,EGFrna_nucPCC,,,EGFgene_nucPCC,D,,
45,EGF,gene,,"P01133,Q99075",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,EGFgene_nucPCC,,,AP1pf_nucPCC,D,,
46,EGFR,Protein family,"1,2,3,4","P00533,P04626, P21860,Q15303",Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,EGFRpf_memPCC,,,EGFRrna_nucPCC,D,,
47,EGFR_ACT,Protein family,,"P00533,P04626, P21860,Q15303",Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,EGFR_ACTpf_memPCC,,,"(EGFpf_ex,EGFRpf_memPCC)","D,D",,
48,EGFR,mRNA,,"P00533,P04626, P21860,Q15303",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,EGFRrna_nucPCC,,,EGFRgene_nucPCC,D,,
49,EGFR,gene,,"P00533,P04626, P21860,Q15303",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,EGFRgene_nucPCC,,,NFKBpf_nucPCC,D,,
50,ERK,Protein family,,"P27361,P28482",Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,ERKpf_cytoPCC,,,MEK1pf_cytoPCC,D,PP2Apf_cytoPCC,D
51,ERK,Protein family,,"P27361,P28482",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,ERKpf_nucPCC,,,ERKpf_cytoPCC,D,,
52,ERK,Protein family,,"P27361,P28482",,Macrophage,Human,Immune system,cytoplasm,GO:0005737,,,ERKpf_cytoMAC,,,,,,
53,EXOCX,Protein complex,"1,2,3,4,5,6B,7,8","Q9NV70,Q8IYI6,Q96A65,Q96KP1,O60645,O00471,Q9Y2D4,Q9UPT5",Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,EXOCXpf_cytoPCC,,,RASpf_cytoPCC,D,,
54,EXOSOMES,Biological process,,GO:0070062,,,Human,Pancreas,extracellular,GO:0005576,,,EXOSOMESbp_ex,,,EXOCXpf_cytoPCC,D,,
55,EXOSOMES,Biological process,,GO:0070062,,Macrophage,Human,Immune system,plasma membrane,GO:0005886,,,EXOSOMESbp_memMAC,,,EXOSOMESbp_ex,D,,
56,FADD,Protein,,Q13158,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,FADDpn_cytoPCC,,,TNFAR_ACTpn_memPCC,I,,
57,FIBRONECTIN,Protein,,P02751,Pancreatic,Pancreas,Human,Pancreas,extracellular,GO:0005576,,,FIBRONECTINpn_exPCC,,,,,,
58,FOS,Protein,,P01100,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,FOSpn_nucPCC,,,ERKpf_nucPCC,I,,
59,GLUCOSE,Chemical,,HMDB06564,Pancreatic,,Human,Pancreas,extracellular,GO:0005576,,,GLUCOSEche_ex,,,,,,
60,GLUCOSE,Chemical,,HMDB06564,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,GLUCOSEche_cytoPCC,,,{GLUT1pf_memPCC}[GLUCOSEche_ex],"D,D",,
61,GLUT1,Protein family,,P11166,Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,GLUT1pf_memPCC,,,GLUT1rna_nucPCC,D,,
62,GLUT1,mRNA,,P11166,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,GLUT1rna_nucPCC,,,GLUT1gene_nucPCC,D,,
63,GLUT1,gene,,P11166,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,GLUT1gene_nucPCC,,,"HIF1Apf_nucPCC,MYCpn_nucPCC","D,D",,
64,GST,Protein family,,"P09488,P28161,P09210,Q03013,P46439,P10620,Q99735,Q9Y2Q3,P30711,O15217,O14880,Q16772,P78417,P0CG30,Q7RTV2,Q9H4Y5",Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,GSTpf_cytoPCC,,,GSTrna_nucPCC,"D,D",,
65,GST,mRNA,,"P09488,P28161,P09210,Q03013,P46439,P10620,Q99735,Q9Y2Q3,P30711,O15217,O14880,Q16772,P78417,P0CG30,Q7RTV2,Q9H4Y5",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,GSTrna_nucPCC,,,GSTgene_nucPCC,D,,
66,GST,gene,,"P09488,P28161,P09210,Q03013,P46439,P10620,Q99735,Q9Y2Q3,P30711,O15217,O14880,Q16772,P78417,P0CG30,Q7RTV2,Q9H4Y5",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,GSTgene_nucPCC,,,NRF2pn_nucPCC,D,,
67,HIF1A,Protein family,,Q16665,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,HIF1Apf_nucPCC,,,MTORC1pf_nucPCC,D,,
68,HMGB1,Protein family,,P09429,,,Human,Pancreas,extracellular,GO:0005576,,,HMGB1pf_ex,,,HMGB1pf_cytoPCC,D,,
69,HMGB1,Protein family,,P09429,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,HMGB1pf_cytoPCC,,,HMGB1pf_nucPCC,D,,
70,HMGB1,Protein family,,P09429,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,HMGB1pf_nucPCC,,,"NECROPTOSISbp_cytoPCC,ROScf_nucPCC,9INJURYbp_memPCC","N/A,I,N/A",,
71,ICMT,Protein,,O60725,Pancreatic,Pancreas,Human,Pancreas,endoplasmic reticulum,GO:0005783,,,ICMTpn_erPCC,,,,,,
72,IFNG,Protein,,P01579,Pancreatic,,Human,Pancreas,extracellular,GO:0005576,,,IFNGpn_ex,,,IFNGrna_nucPCC,D,,
73,IFNG,mRNA,,P01579,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,IFNGrna_nucPCC,,,IFNGgene_nucPCC,D,,
74,IFNG,gene,,P01579,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,IFNGgene_nucPCC,,,STAT1pf_nucPCC,I,,
75,IFNG,mRNA,,P01579,,Macrophage,Human,Immune system,nucleus,GO:0005634,,,IFNGrna_nucMAC,,,,,,
