#,Element Name,Element Type,Element Sub-type,Element IDs,Cell line,Cell type,Organism,Tissue type,Location,Location ID,Element NOTES,,Variable,,,Positive Regulators,Positive Connection Type,Negative Regulators,Negative Connection Type
142,P21,gene,,P38936,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,P21gene_nucPCC,,,"P53pn_nucPCC,SMAD3pf_nucPCC","D,D","EXP21pn_nucPCC,EXP21pn_nucPCC","D,D"
143,P38MAPK,Protein family,,Q16539,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,P38MAPKpf_cytoPCC,,,"ASKpf_cytoPCC,RAC1pn_cytoPCC","I,D",,
144,P38MAPK,Protein family,,"Q16539,Q15759,P53778,O15264",,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,P38MAPKpf_nucPCC,,,P38MAPKpf_cytoPCC,D,,
145,P53,Protein,,P04637,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,P53pn_cytoPCC,,,NFKBpf_cytoPCC,D,"MUTP53gene_nucPCC,MUTP53gene_nucPCC","D,D"
146,P53,Protein,,P04637,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,P53pn_nucPCC,,,{CHK2pf_nucPCC}[P53rna_nucPCC],"D,D","MDM2pn_nucPCC,MUTP53gene_nucPCC,MUTP53gene_nucPCC","D,D,D"
147,P53,mRNA,,P04637,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,P53rna_nucPCC,,,P53gene_nucPCC,D,"MUTP53gene_nucPCC,MUTP53gene_nucPCC","D,D"
148,P53,gene,,P04637,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,P53gene_nucPCC,,,ERKpf_nucPCC,D,"MUTP53gene_nucPCC,MUTP53gene_nucPCC","D,D"
149,PDL1L1,Protein,,Q9NZQ7,,,Human,Pancreas,extracellular,GO:0005576,,,PDL1L1pn_ex,,,,,,
150,PDCD1,Protein,,Q15116,,Macrophage,Human,Immune system,plasma membrane,GO:0005886,,,PDCD1pn_memMAC,,,,,,
151,PDCD1_ACT,Protein,,Q15116,,Macrophage,Human,Immune system,plasma membrane,GO:0005886,,,PDCD1_ACTpn_memMAC,,,,,,
152,PDPK1,Protein,,O55173,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,PDPK1pn_cytoPCC,,,PIP3che_cytoPCC,I,,
153,PDK1,Protein family,"1,2,4","Q15118,Q15119,Q16654",Pancreatic,Pancreas,Human,Pancreas,mitochondria,GO:0005739,,,PDK1pf_mitoPCC,,,WNTpf_ex,I,,
154,PEROXIREDOXIN,Protein family,"1,2,3,4,5,6","Q06830,P32119,P30048,Q13162,P30044,P30041",Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,PEROXIREDOXINpf_cytoPCC,,,,,ROScf_cytoPCC,D
155,PI3K,Protein family,"CA,CB,CD,CG,R1,R2,R3,R4,R5,R6","P42336,P42338,O00329,P48736,P27986,O00459,Q92569,Q8WYR1,Q5UE93",Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,PI3Kpf_cytoPCC,,,"RAGE_ACTpn_memPCC,VEGFR_ACTpf_memPCC,EGFR_ACTpf_memPCC,IRSpn_cytoPCC,SRCpn_cytoPCC","D,D,D,D,D","PI3KINHZSext_cytoPCC,PI3KINHZSext_cytoPCC","N/A,N/A"
156,PIP3,Chemical,,HMDB10147,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,PIP3che_cytoPCC,,,PI3Kpf_cytoPCC,D,PTENpn_cytoPCC,D
157,PKCA,Protein family,"A,B,G","P17252,P05771,P05129",Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,PKCApf_cytoPCC,,,"TGFB1R_ACTpf_memPCC,PI3Kpf_cytoPCC","D,D","PKCINHROext_cytoPCC,PKCINHROext_cytoPCC","N/A,N/A"
158,PP2A,Protein family,17proteins,"P67775,P30153,Q13362,P67775,Q15257,Q14738,Q15172,Q06190,Q15173,Q00005,P63151,P30154,Q16537,P62714,Q9Y2T4,Q66LE6,Q9Y5P8",Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,PP2Apf_cytoPCC,,,GLUCOSEche_cytoPCC,D,ROScf_cytoPCC,D
159,PTEN,Protein,,P60484,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,PTENpn_cytoPCC,,,PEROXIREDOXINpf_cytoPCC,D,"PKCApf_cytoPCC,MUTPTENpn_cytoPCC,MUTPTENpn_cytoPCC","D,D,D"
160,PUMA,Protein,,Q9BXH1,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,PUMApn_cytoPCC,,,PUMArna_nucPCC,D,,
161,PUMA,mRNA,,Q9BXH1,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,PUMArna_nucPCC,,,PUMAgene_nucPCC,D,,
162,PUMA,gene,,Q9BXH1,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,PUMAgene_nucPCC,,,P53pn_nucPCC,D,,
163,RAC1,Protein,,P63000,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,RAC1pn_cytoPCC,,,PI3Kpf_cytoPCC,I,,
164,RAF,Protein family,,"P15056,P04049,P10398",Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,RAFpf_cytoPCC,,,"RASpf_cytoPCC,PKCApf_cytoPCC,MUTBRAFpn_cytoPCC","I,D,D",,
165,RAGE,Protein,,Q15109,Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,RAGEpn_memPCC,,,,,,
166,RAGE_ACT,Protein,,Q15109,Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,RAGE_ACTpn_memPCC,,,"(HMGB1pf_ex,RAGEpn_memPCC)","D,D",,
167,RAGE,Protein,,Q15109,Pancreatic,Macrophage,Human,Immune system,plasma membrane,GO:0005886,,,RAGEpn_memMAC,,,,,,
168,RAGE_ACT,Protein,,Q15109,,Macrophage,Human,Immune system,plasma membrane,GO:0005886,,,RAGE_ACTpn_memMAC,,,HMGB1pf_ex,D,,
169,RAS,Protein family,,P01116,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,RASpf_cytoPCC,,,"SRCpn_cytoPCC,IRSpn_cytoPCC,RAGE_ACTpn_memPCC,VEGFR_ACTpf_memPCC,TGFB1R_ACTpf_memPCC,EGFR_ACTpf_memPCC,MUTRASpf_cytoPCC,MUTRASpf_cytoPCC","D,D,I,I,I,I,D,D",,
170,RAS,Protein family,,P01116,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,RASpf_cytoMAC,,,,,,
171,RB,Protein,,P06400,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,RBpn_nucPCC,,,"P21pn_nucPCC,CHK2pf_nucPCC","D,D",,
172,RIPK,Protein family,"1,3","P06400,Q9Y572",Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,RIPKpf_cytoPCC,,,TNFAR_ACTpn_memPCC,D,,
173,ROS,Chemical family,,ChemIDPlus: D017382000,,,Human,Pancreas,extracellular,GO:0005576,,,ROScf_ex,,,ROScf_cytoPCC,"D,D",,
174,ROS,Chemical family,,ChemIDPlus: D017382000,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,ROScf_cytoPCC,,,{NOXpf_memPCC}[ROScf_ex],"D,D",{GSTpf_cytoPCC}[THIOREDOXINpn_cytoPCC],"D,D"
175,ROS,Chemical family,,ChemIDPlus: D017382000,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,ROScf_nucPCC,,,ROScf_cytoPCC,D,,
176,RPS6KB1,Protein family,,"P23443,Q9UBS0",Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,RPS6KB1pf_cytoPCC,,,MTORC1pf_cytoPCC,D,,
177,SMAD3,Protein family,"3,2,4","P84022,Q15796,Q13485",Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,SMAD3pf_cytoPCC,,,TGFB1R_ACTpf_memPCC,D,"ERKpf_cytoPCC,PDPK1pn_cytoPCC","D,D"
178,SMAD3,Protein family,,"P84022,Q15796,Q13485",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,SMAD3pf_nucPCC,,,SMAD3pf_cytoPCC,D,,
179,SRC,Protein,,P12931,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,SRCpn_cytoPCC,,,INTEGRINpf_memPCC,D,"SRCINHSRext_cytoPCC,SRCINHSRext_cytoPCC","N/A,N/A"
180,STAT1,Protein family,,P42224,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,STAT1pf_cytoPCC,,,JAK1pf_cytoPCC,D,,
181,STAT1,Protein family,,P42224,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,STAT1pf_nucPCC,,,STAT1pf_cytoPCC,D,,
182,STAT1,Protein family,,P42224,,Macrophage,Human,Immune system,cytoplasm,GO:0005737,,,STAT1pf_cytoMAC,,,,,,
183,STAT1,Protein family,,P42224,,Macrophage,Human,Immune system,nucleus,GO:0005634,,,STAT1pf_nucMAC,,,,,,
184,STAT1,mRNA,,P42224,,Macrophage,Human,Immune system,nucleus,GO:0005634,,,STAT1rna_nucMAC,,,,,,
185,STAT1,gene,,P42224,,Macrophage,Human,Immune system,nucleus,GO:0005634,,,STAT1gene_nucMAC,,,,,,
186,STAT3,Protein family,,P40763,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,STAT3pf_cytoPCC,,,IL6RB_ACTpf_memPCC,D,,
187,STAT3,Protein family,,P40763,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,STAT3pf_nucPCC,,,STAT3pf_cytoPCC,D,,
188,STAT3,Protein family,,P40763,,Macrophage,Human,Immune system,cytoplasm,GO:0005737,,,STAT3pf_cytoMAC,,,,,,
189,STAT3,Protein family,,P40763,,Macrophage,Human,Immune system,nucleus,GO:0005634,,,STAT3pf_nucMAC,,,,,,
190,TERT,Protein,,O14746,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,TERTpn_nucPCC,,,TERTrna_nucPCC,D,,
191,TERT,mRNA,,O14746,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,TERTrna_nucPCC,,,TERTgene_nucPCC,D,,
192,TERT,gene,,O14746,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,TERTgene_nucPCC,,,MYCpn_nucPCC,D,,
193,TGFB1,Protein family,,P01137,,,Human,Pancreas,extracellular,GO:0005576,,,TGFB1pf_ex,,,"(LTBPpf_ex,TGFB1rna_nucPCC)","D,D",,
194,TGFB1,mRNA,,P01137,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,TGFB1rna_nucPCC,,,TGFB1gene_nucPCC,D,,
195,TGFB1,gene,,P01137,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,TGFB1gene_nucPCC,,,"(ERKpf_nucPCC,P38MAPKpf_nucPCC,JNKpf_nucPCC)","D,D,D",,
196,TGFB1,mRNA,,P01137,,Macrophage,Human,Immune system,nucleus,GO:0005634,,,TGFB1rna_nucMAC,,,,,,
197,TGFB1,gene,,P01137,,Macrophage,Human,Immune system,nucleus,GO:0005634,,,TGFB1gene_nucMAC,,,,,,
198,TGFB1R,Protein family,"1,2,3,D2","P36897,P37173,Q03167,D2JYI1",Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,TGFB1Rpf_memPCC,,,,,,
199,TGFB1R_ACT,Protein family,,"P36897,P37173,Q03167,D2JYI1",Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,TGFB1R_ACTpf_memPCC,,,"(TGFB1pf_ex,TGFB1Rpf_memPCC)","D,D",,
200,TGFB1R,Protein family,,"P36897,P37173,Q03167,D2JYI1",,Macrophage,Human,Pancreas,plasma membrane,GO:0005886,,,TGFB1Rpf_memMAC,,,,,,
201,TGFB1R_ACT,Protein family,,"P36897,P37173,Q03167,D2JYI1",,Macrophage,Human,Immune system,plasma membrane,GO:0005886,,,TGFB1R_ACTpf_memMAC,,,TGFB1pf_ex,D,,
202,THIOREDOXIN,Protein,,P10599,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,THIOREDOXINpn_cytoPCC,,,ROScf_cytoPCC,D,,
203,TLR4,Protein family,,O00206,,Macrophage,Human,Immune system,plasma membrane,GO:0005886,,,TLR4pf_memMAC,,,,,,
204,TLR4_ACT,Protein family,,O00206,,Macrophage,Human,Immune system,plasma membrane,GO:0005886,,,TLR4_ACTpf_memMAC,,,HMGB1pf_ex,D,,
205,TNFA,Protein,,P01375,,,Human,Pancreas,nucleus,GO:0005634,,,TNFApn_ex,,,"(ADAMpf_memPCC,TNFArna_nucPCC),ACIDICMEbp_ex","D,D,D",,
206,TNFA,mRNA,,P01375,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,TNFArna_nucPCC,,,TNFAgene_nucPCC,D,,
207,TNFA,gene,,P01375,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,TNFAgene_nucPCC,,,"NFKBpf_nucPCC,JNKpf_nucPCC","D,D",,
208,TNFA,mRNA,,P01375,,Macrophage,Human,Immune system,nucleus,GO:0005634,,,TNFArna_nucMAC,,,,,,
209,TNFA,gene,,P01375,,Macrophage,Human,Immune system,nucleus,GO:0005634,,,TNFAgene_nucMAC,,,,,,
210,TNFAR,Protein,,P19438,Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,TNFARpn_memPCC,,,TNFARrna_nucPCC,D,,
211,TNFAR_ACT,Protein,,P19438,,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,TNFAR_ACTpn_memPCC,,,"(TNFApn_ex,TNFARpn_memPCC)","D,D",,
212,TNR1A,Protein,,P19438,,Macrophage,Human,Immune system,plasma membrane,GO:0005886,,,TNR1Apn_memMAC,,,,,,
213,TNR1A_ACT,Protein,,P19438,,Macrophage,Human,Immune system,plasma membrane,GO:0005886,,,TNR1A_ACTpf_memMAC,,,TNFApn_ex,D,,
214,TNFAR,mRNA,,P19438,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,TNFARrna_nucPCC,,,TNFARgene_nucPCC,D,,
215,TNFAR,gene,,P19438,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,TNFARgene_nucPCC,,,NFKBpf_nucPCC,D,,
216,TRAF,Protein family,"1,2,3","Q13077,Q12933,Q13114",Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,TRAFpf_cytoPCC,,,TNFAR_ACTpn_memPCC,D,,
217,TSC2,Protein family,"2,3","P49815,Q92574",Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,TSC2pf_cytoPCC,,,AMPKpf_cytoPCC,D,AKTpf_cytoPCC,D
218,TYK2,Protein,,P29597,,Macrophage,Human,Immune system,cytoplasm,GO:0005737,,,TYK2pn_cytoMAC,,,,,,
219,VEGF,Protein family,"A,B,C,D","P15692,P49765,P49767,O43915",,,Human,Pancreas,extracellular,GO:0005576,,,VEGFpf_ex,,,LACTATEche_cytoPCC,D,,
220,VEGFR,Protein family,"1,2,3","P17948,P35968,P35916",Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,VEGFRpf_memPCC,,,,,,
221,VEGFR_ACT,Protein family,,"P17948,P35968,P35916",Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,VEGFR_ACTpf_memPCC,,,"(VEGFpf_ex,VEGFRpf_memPCC)","D,D",,
222,WNT,Protein family,"2,4,5,6,7,9,10,11,16","P04628,P09544,Q93097,P56705,P41221,Q9H1J7,Q9Y6F9,O00755,P56706,O14904,O14905,O00744,O96014,Q9UBV4",,,Human,Pancreas,extracellular,GO:0005576,,,WNTpf_ex,,,,,,
223,ACIDICME,Biological process,,GO:0045851,,,Human,Pancreas,extracellular,GO:0005576,,,ACIDICMEbp_ex,,,LACTATEche_cytoPCC,D,,
224,ANAEROBIC,Biological process,,GO:0009061,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,ANAEROBICbp_nucPCC,,,LDHpf_cytoPCC,D,7OXPHOSbp_mitoPCC,D
225,TCAKREBS,Biological process,,GO:0006099,Pancreatic,Pancreas,Human,Pancreas,mitochondria,GO:0005739,,,TCAKREBSbp_mitoPCC,,,GLYCOLYSISbp_cytoPCC,D,PDK1pf_mitoPCC,D
226,NECROPTOSIS,Biological process,,GO:0097528,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,NECROPTOSISbp_cytoPCC,,,RIPKpf_cytoPCC,D,,
227,GLYCOLYSIS,Biological process,,GO:0006096,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,GLYCOLYSISbp_cytoPCC,,,GLUT1rna_nucPCC,D,,
228,APOPTOSIS,Biological process,,GO:0006915,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,1APOPTOSISbp_cytoPCC,,,"CAS8pf_cytoPCC,PUMArna_nucPCC","D,D","BCL2pf_mitoPCC,NFKBpf_cytoPCC","D,D"
229,AUTOPHAGY,Biological process,,GO:0006914,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,2AUTOPHAGYbp_cytoPCC,,,"{ATG4Apf_cytoPCC}[BECNpn_cytoPCC],LACTATEche_ex","D,D,D",{MTORC1pf_cytoPCC}[GLUT1rna_nucPCC],"D,D"
230,CCA,Biological process,,GO:0007050,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,3CCAbp_nucPCC,,,"(ATMrna_nucPCC,P53rna_nucPCC),P21rna_nucPCC","D,D,D","(CCND1pn_nucPCC,CCNE1pn_nucPCC)","D,D"
231,DNAdam,Biological process,,GO:1990166,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,4DNAdambp_nucPCC,,,{ROScf_nucPCC}[ROScf_cytoPCC],"D,D","(P53pn_nucPCC,MRNpf_nucPCC,ATMpn_nucPCC)","D,D,D"
232,IMMUNE,Biological process,,GO:0006955,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,5IMMUNEbp_nucPCC,,,IFNGpn_ex,D,TGFB1pf_ex,D
233,INFLAMMATORY,Biological process,,GO:0006954,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,6INFLAMMATORYbp_nucPCC,,,"(TNFApn_ex,IL1Bpf_ex),IL6pn_ex","D,D,D","(TGFB1pf_ex,IL10pn_ex)","D,D"
234,OXPHOS,Biological process,,GO:0006119,Pancreatic,Pancreas,Human,Pancreas,mitochondria,GO:0005739,,,7OXPHOSbp_mitoPCC,,,GLUT1rna_nucPCC,D,{ROScf_cytoPCC}[ROScf_nucPCC],"D,D"
235,PROLIFERATION,Biological process,,GO:0008283,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,8PROLIFERATIONbp_nucPCC,,,"(AP1pf_nucPCC,TERTpn_nucPCC),STAT3pf_nucPCC","D,D,D","P21rna_nucPCC,P53rna_nucPCC,SMAD3pf_nucPCC","D,D,D"
236,INJURY,Biological process,,GO:0090303,Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,9INJURYbp_memPCC,,,,,,
237,MUTCDN2A,Mutation,,MUTCDN2A,,,,,,,,,MUTCDN2Agene_nucPCC,,,,,,
238,MUTP53,Mutation,,MUTP53,,,,,,,,,MUTP53gene_nucPCC,,,,,,
239,MUTRAS,Mutation,,MUTRAS,,,,,,,,,MUTRASpf_cytoPCC,,,,,,
240,MUTBRAF,Mutation,,MUTBRAF,,,,,,,,,MUTBRAFpn_cytoPCC,,,,,,
241,MUTPTEN,Mutation,,MUTPTEN,,,,,,,,,MUTPTENpn_cytoPCC,,,,,,
242,EXP21,Protein,,P38936,,,,,,,,,EXP21pn_nucPCC,,,,,,
248,GSK3AB,Protein,,"P49840,P49841",,,,,,,,,GSK3ABext_cytoPCC,,,,,,
249,S6,Protein,,P62753,,,,,,,,,S6ext_cytoPCC,,,,,,
250,CDK4,Protein,,P11802,,,,,,,,,CDK4ext_nucPCC,,,,,"CDK4INHRYext_nucPCC,CDK4INHRYext_nucPCC","N/A,N/A"
251,4EBP1,Protein,,Q13541,,,,,,,,,ELE_4EBP1ext_cytoPCC,,,,,,
252,YB1,Protein,,P67809,,,,,,,,,YB1ext_nucPCC,,,,,,
254,AKTINHAK,Inhibitor,,CAS 612847-09-3,,,,,,,,,AKTINHAKext_cytoPCC,,,,,,
255,CDK4INHRY,Inhibitor,,CAS 265312-55-8,,,,,,,,,CDK4INHRYext_nucPCC,,,,,,
256,MEKINH901,Inhibitor,,PD0325901,,,,,,,,,MEKINH901ext_cytoPCC,,,,,,
257,MTORINHTM,Inhibitor,,DB06287,,,,,,,,,MTORINHTMext_cytoPCC,,,,,,
258,PI3KINHZS,Inhibitor,,CAS 475110-96-4,,,,,,,,,PI3KINHZSext_cytoPCC,,,,,,
259,PKCINHRO,Inhibitor,,RO-31-7549,,,,,,,,,PKCINHROext_cytoPCC,,,,,,
260,SRCINHSR,Inhibitor,,CAS 179248-59-0,,,,,,,,,SRCINHSRext_cytoPCC,,,,,,
261,TIMING,Timing,,TIMING,,,,,,,,,TIMING,,,,,,
X,ADAM_8_9_15,,,"P78325,Q13443,Q13444",,,,,,,,,ADAM_8_9_15,,,,,,
X,AKT_3,,,Q9Y24,,,,,,,,,AKT_3,,,,,,
X,AP1_NOT,,,"Q9BXS5,O43747, P61966",,,,,,,,,AP1_NOT,,,,,,
X,ASK2_3,,,"O95382,Q6ZN16",,,,,,,,,ASK2_3,,,,,,
X,ATG3_4D_5_7_9A_10_12_13_BAKOR,,,"Q86TL0,O95352,Q6ZNE5,O94817,Q9NT62,Q9H1Y0,Q9H0Y0,O75143, Q7Z3C6",,,,,,,,,ATG3_4D_5_7_9A_10_12_13_BAKOR,,,,,,
X,BAD,,,Q92934,,,,,,,,,BAD,,,,,,
X,CAS_1_4_E,,,"P29466,P49662,P31944",,,,,,,,,CAS_1_4_E,,,,,,
X,CDN1B_CDK1_2_5_6_9,,,"P46527,P24941,P06493,P50750,Q00534",,,,,,,,,CDN1B_CDK1_2_5_6_9,,,,,,
X,CSF3,,,P09919,,,,,,,,,CSF3,,,,,,
X,CSF3R,,,Q99062,,,Human,Pancreas,,,,,CSF3R,,,,,,
X,DUS ,,20others,"Q6B8I1,Q9BV47,Q16828,P51452,P28562,Q9Y6W6,Q9NRW4,Q9BY84,Q8WTR2,Q8NEJ0,Q13115,Q16829,Q99956,Q16690,Q9H596,Q9UNI6,Q9BVJ7,Q9H1R2,Q05923,Q13202",,,,,,,,,DUS ,,,,,,
X,E2F4_5_6_7_8,,,"Q96AV8,Q16254, A0AVK6, O75461,Q15329",,,,,,,,,E2F4_5_6_7_8,,,,,,
X,MK4_6_7_12_15,,,"Q13164,Q8TD08,P53778,Q16659,P31152",,,,,,,,,MK4_6_7_12_15,,,,,,
X,EXOC6,,,Q8TAG9,,,,,,,,, EXOC6,,,,,,
X,GTR,,"1,2,3,4,5,6,7,8,9,10,11,14","P14672 (GTR4_HUMAN),P11168 (GTR2_HUMAN),Q9NRM0 (GTR9_HUMAN),P22732 (GTR5_HUMAN),Q9BYW1 (GTR11_HUMAN),O95528 (GTR10_HUMAN),Q9UGQ3 (GTR6_HUMAN),Q8TD20 (GTR12_H,P11169,Q8TDB8,Q9NY64,Q6PXP3",,,,,,,,,GTR,,,,,,
X,GSTP1_M3,,,"P09211,P21266",,,,,,,,,GSTP1_M3,,,,,,
X,HIF3A_N1,,,"Q9Y2N7,Q9NWT6",,,,,,,,,HIF3A_N1,,,,,,
X,HMGB2_3,,,"P26583,O15347",,,,,,,,,HMGB2_3,,,,,,
X,IL1A,,,P01583,,,,,,,,,IL1A,,,,,,
X,IL1R2_AP_A,,,"P27930,Q9NPH3,P18510",,,,,,,,,IL1R2_AP_A,,,,,,
X,ITA_B_V_X_6_8,,,"P05106,P06756,P08514,P23229,P26006,P16144,P05107,P17301,P13612,P20701,P20702,P18564,P26012",,,,,,,,,ITA_B_V_X_6_8,,,,,,
X,JAK3,,,P52333,,,,,,,,,JAK3,,,,,,
X,STK,,9others,"O75716,Q13043,Q13188,Q9Y6E0,Q15208,O94804,O00506,O00506,Q9P289",,,,,,,,,STK,,,,,,
X,BRSK2_ST,,,"Q8IWQ3,Q9Y2H1,Q9NRP7",,,,,,,,,BRSK2_ST,,,,,,
X,LTBP2,,,Q14767,,,Human,Immune system,,,,,LTBP2,,,,,,
X,MEK3_4_5_6_7,,,"P46734,P45985,Q13163,P52564,O14733",,,,,,,,,MEK3_4_5_6_7,,,,,,
X,MTORC2,,,"P42345,Q6R327,Q9BPZ7,Q9BVC4",,,,,,,,,MTORC2,,,,,,
X,DEPTOR,,,Q8TB45,,,,,,,,,DEPTOR,,,,,,
X,CY24B,,,P04839,,,,,,,,, CY24B,,,,,,
X,CDN1B_2A,,,"P46527,P42771",,,,,,,,,CDN1B_2A,,,,,,
X,MK04_06,,,"P31152,Q16659",,,,,,,,,MK04_06,,,,,,
X,PD1L2,,,Q9BQ51,,,,,,,,,PD1L2,,,,,,
X,PDCD2_4_5_6_7_10,,,"Q16342,Q53EL6,O14737,O75340,Q8N8D1,Q9BUL8",,,,,,,,,PDCD2_4_5_6_7_10,,,,,,
X,PDK3,,,Q15120,,,,,,,,,PDK3,,,,,,
X,PI3KC2A_2B_2G_3,,,"O00443,O00750,O75747,Q99570",,,Human,,,,,,PI3KC2A_2B_2G_3,,,,,,
X,PRCKD_E_H_Q,,,"Q05655,Q02156,P24723,Q04759",,,,,,,,,PRCKD_E_H_Q,,,,,,
X,RAC2_3,,,"P15153,P60763",,,,,,,,,RAC2_3,,,,,,
X,RASH_N,,,"P01112,P01111",,,,,,,,,RASH_N,,,,,,
X,RIPK2,,,O43353,,,Human,,,,,,RIPK2,,,,,,
X,RPS6KA1_2_3_4_5_6,,,"Q15418,Q15349,P51812,O75676,O75582,Q9UK32",,,,,,,,,RPS6KA1_2_3_4_5_6,,,,,,
X,SMAD1_6,,,"Q15797,O43541",,,,,,,,,SMAD1_6,,,,,,
X,SMAD7_5_9,,,"O15105,Q99717,O15198",,,,,,,,,SMAD7_5_9,,,,,,
X,STAT2_5B_6,,,"P42226,P51692,P52630",,,,,,,,,STAT2_5B_6,,,,,,
X,TGFB2_3,,,"P61812,P10600",,,,,,,,,TGFB2_3,,,,,,
X,TLR1_2_3_5_6_7_8_9,,,"O60603,O15455,Q9NR96,Q15399,Q9Y2C9,Q9NR97,O60602,Q9NYK1",,,,,,,,,TLR1_2_3_5_6_7_8_9,,,,,,
X,TRAF4_5_6_7,,,"Q9BUZ4,O00463,Q9Y4K3,Q6Q0C0",,,,,,,,,TRAF4_5_6_7,,,,,,
X,WNT3_8_10,,,"P56703,P56704,Q9H1J5,Q93098,Q9GZT5",,,,,,,,,WNT3_8_10,,,,,,
