Element Name,,Database Name,Element ID,Element Type,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,,,Positive Reg ID,Positive Reg Type,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,,,Negative Reg ID,Negative Reg Type,Negative Reg Location,Negative Reg Location,Negative Reg Location ID,Mechanism,Connection Type,Paper ID,Evidence
CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,Bcl2l11,uniprot_O43521,uniprot,O43521,gene,,,,,,,,,,,,I,PMC4487994,
PIP3,hmdb_HMDB10147,hmdb,HMDB10147,simple-chemical,,,,,,PI3K,be_PI3K,be,P42336,protein,,,,,,,,,,,,I,PMC4487994,
PIP3,hmdb_HMDB10147,hmdb,HMDB10147,simple-chemical,,,,,,PI3,be_PI3K,be,P42336,protein,,,,,,,,,,,,I,PMC4487994,
PI,be_PI3K,be,P42336,protein,,,,,,SHIP,uniprot_Q92835,uniprot,Q92835,protein,,,,,,,,,,,,I,PMC4487994,
PAK1,uniprot_Q13153,uniprot,Q13153,protein,,,,,,BAM32,uniprot_Q9UN19,uniprot,Q9UN19,protein,,,,,,,,,,,,I,PMC4487994,
PAK1,uniprot_Q13153,uniprot,Q13153,protein,,,,,,mTORC1,be_mTORC1,be,Q8N122,protein,,,,,,,,,,,,I,PMC4487994,
AKT,be_AKT,be,P31749,family,,,,,,mTOR,uniprot_P42345,uniprot,P42345,protein,,,,,,,,,,,,I,PMC4487994,
PAK1,uniprot_Q13153,uniprot,Q13153,protein,,,,,,mTOR,uniprot_P42345,uniprot,P42345,protein,,,,,,,,,,,,I,PMC4487994,
PAK1,uniprot_Q13153,uniprot,Q13153,protein,,,,,,ERK,be_ERK,be,P29323,family,,,,,,,,,,,,I,PMC4487994,
PAK1,uniprot_Q13153,uniprot,Q13153,protein,,,,,,BIM,uniprot_O43521,uniprot,O43521,protein,,,,,,,,,,,,I,PMC4487994,
Akt,be_AKT,be,P31749,family,,,,,,PDK1,uniprot_Q15118,uniprot,Q15118,protein,,,,,,,,,,,,I,PMC4550078,
Akt,be_AKT,be,P31749,family,,,,,,IFNgamma,uniprot_P01579,uniprot,P01579,protein,,,,,,,,,,,,I,PMC4550078,
Akt,be_AKT,be,P31749,family,,,,,,PI3K,be_PI3K,be,P42336,protein,,,,,,,,,,,,I,PMC4496363,
Akt,be_AKT,be,P31749,family,,,,,,PI3K,be_PI3K,be,P42336,protein,,,,,,,,,,,,I,PMC4496363,
Akt,be_AKT,be,P31749,family,,,,,,PI3K,be_PI3K,be,P42336,protein,,,,,,,,,,,,I,PMC4496363,
NEDD4,,,P46934,protein,,,,,,TCR,,,P04235,protein,,,,,,,,,,,,I,PMC4418530,
PTEN,,,P60484,protein,,,,,,Foxo1,,,Q12778,protein,,,,,,,,,,,,I,PMC4418530,
PTEN,,,P60485,protein,,,,,,MEK1,,,Q02750,protein,,,,,,,,,,,,I,PMC4418530,
AKT,,,P31749,protein,,,,,,PIP3,,,HMDB10147,protein,,,,,,,,,,,,I,PMC4418530,
AKT,,,P31750,protein,,,,,,MTORC2,,,Q6R327,Complex,,,,,,,,,,,,I,PMC4418530,
MTORC2,,,Q6R327,Complex,,,,,,TCR,,,P01850,protein,,,,,,,,,,,,I,PMC4418530,
PIP3,,,HMDB10147,protein,,,,,,TCR,,,P01850,protein,,,,,,,,,,,,I,PMC4418530,
MEK1,,,Q02750,protein,,,,,,TCR,,,P01850,protein,,,,,,,,,,,,I,PMC4418530,
CK2,,,Q53GL0,protein,,,,,,TCR,,,P01850,protein,,,,,,,,,,,,I,PMC4418530,
MTORC2,,,Q6R327,Complex,,,,,,MTORC2,,,Q6R328,Complex,,,,,,,,,,,,I,PMC4418530,
MTORC2,,,Q6R328,Complex,,,,,,CD28,,,P10747,protein,,,,,,,,,,,,I,PMC4418530,
MTORC2,,,Q6R329,Complex,,,,,,IL2_EX,,,P60568,protein,,,,,,,,,,,,I,PMC4418530,
MTORC2,,,Q6R330,Complex,,,,,,IL2_R,,,P01589,protein,,,,,,,,,,,,I,PMC4418530,
PIP3,,,HMDB10147,protein,,,,,,PI3K,,,P42336,protein,,,,,,,,,,,,I,PMC4418530,
CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,,,,,,,,AKT,be_AKT,be,P31749,family,,,,,I,PMC2275380,
CTRL,uniprot_P40313,uniprot,P40313,protein,,,,,,,,,,,,,AKT,be_AKT,be,P31749,family,,,,,I,PMC2275380,
Foxo3a,uniprot_O43524,uniprot,O43524,protein,,,,,,,,,,,,,Foxo,be_FOXO,be,FOXO,family,,,,,I,PMC3375464,
Treg,uaz_UAZ02439,uaz,UAZ02439,protein,,,,,,,,,,,,,PDL1,uniprot_Q9NZQ7,uniprot,Q9NZQ7,protein,,,,,I,PMC4669187,
CD8,be_CD8,be,CD8,family,,,,,,,,,,,,,PDL1,uniprot_Q9NZQ7,uniprot,Q9NZQ7,protein,,,,,I,PMC4669187,
CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,,,,,,,,TCR,uniprot_P04234,uniprot,P04234,protein,,,,,I,PMC3949578,
CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,,,,,,,,Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,I,PMC3949578,
CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,,,,,,,,AKT,uaz_UAZ00283,uaz,P31749,protein,,,,,I,PMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,,,,,,,,AKT,uaz_UAZ00283,uaz,P31749,protein,,,,,I,PMC3949578,
Pten,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,TCR,uniprot_P04234,uniprot,P04234,protein,,,,,I,PMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,,,,,,,,Pten,uniprot_P60484,uniprot,P60484,protein,,,,,I,PMC3949578,
IL17A,uniprot_Q16552,uniprot,Q16552,protein,,,,,,,,,,,,,CD4,uniprot_P01730,uniprot,P01730,protein,,,,,I,PMC3949578,
IL17A,uniprot_Q16552,uniprot,Q16552,protein,,,,,,,,,,,,,HIF1alpha,uniprot_Q16665,uniprot,Q16665,protein,,,,,I,PMC3949578,
Myc,uniprot_P01106,uniprot,P01106,protein,,,,,,,,,,,,,Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,I,PMC3949578,
MEK2,uniprot_P36507,uniprot,P36507,protein,,,,,,,,,,,,,IQGAP1,uniprot_P46940,uniprot,P46940,protein,,,,,I,PMC3625979,
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,MEK1,uniprot_Q02750,uniprot,Q02750,protein,,,,,I,PMC3625979,
MEK1,uniprot_Q02750,uniprot,Q02750,protein,,,,,,,,,,,,,AKT,be_AKT,be,P31749,family,,,,,I,PMC3625979,
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,MEK1,uniprot_Q02750,uniprot,Q02750,protein,,,,,I,PMC3625979,
MAGI1,uniprot_Q6P9H4,uniprot,Q6P9H4,protein,,,,,,,,,,,,,AKT,be_AKT,be,P31749,family,,,,,I,PMC3625979,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,RAS,pfam_PF00071,pfam,PF00071,family,,,,,I,PMC4712330,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,NEDD4,uniprot_P46934,uniprot,P46934,protein,,,,,I,PMC4712330,
