Element Name,,Database Name,Element ID,Element Type,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,,,Positive Reg ID,Positive Reg Type,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,,,Negative Reg ID,Negative Reg Type,Negative Reg Location,Negative Reg Location ID,Connection Type,Mechanism,Paper ID,Evidence
Pten,uniprot_P60484,uniprot,P60484,protein,,,,,,IgG,uaz_UAZ00125,uaz,UAZ00125,protein,,,,,,,,,,I,,PMCPMC4297581,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,homeostasis,go_GO:0042592,go,GO:0042592,bioprocess,,,,,,,,,,I,,PMCPMC4297581,
FR,uniprot_P30043,uniprot,P30043,protein,,,,,,antigen,uaz_UA-BP-GGP-00007,uaz,UA-BP-GGP-00007,protein,,,,,,,,,,I,,PMCPMC4297581,
FR,uniprot_P30043,uniprot,P30043,protein,,,,,,GC,uniprot_P02774,uniprot,P02774,protein,,,,,,,,,,I,,PMCPMC4297581,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,,,,,,,,I,,PMCPMC4297581,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,,,,,,,,I,,PMCPMC4297581,
Ki_67,uaz_UAZ00278,uaz,UAZ00278,protein,,,,,,cell_proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,,,,,,,,I,,PMCPMC5521878,
SCF,uniprot_P21583,uniprot,P21583,protein,,,,,,cell_growth,go_GO:0016049,go,GO:0016049,bioprocess,,,,,,,,,,I,,PMCPMC5618553,
SCF,uniprot_P21583,uniprot,P21583,protein,,,,,,proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,,,,,,,,I,,PMCPMC5618553,
HIF_1,be_HIF1,be,HIF1,protein,,,,,,Hedgehog,be_Hedgehog,be,Hedgehog,family,,,,,,,,,,I,,PMCPMC5618553,
hypoxia_inducible_factor,uaz_UAZ03703,uaz,UAZ03703,protein,,,,,,Hedgehog,be_Hedgehog,be,Hedgehog,family,,,,,,,,,,I,,PMCPMC5618553,
