Element Name,,Database Name,Element ID,Element Type,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,,,Positive Reg ID,Positive Reg Type,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,,,Negative Reg ID,Negative Reg Type,Negative Reg Location,Negative Reg Location ID,Connection Type,Mechanism,Paper ID,Evidence
MTORC2,,,Q6R327,Complex,,,,,,MTORC2,,,Q6R328,Complex,,,,,,,,,,I,,PMC4418530,
MTORC2,,,Q6R328,Complex,,,,,,CD28,,,P10747,protein,,,,,,,,,,I,,PMC4418530,
MTORC2,,,Q6R329,Complex,,,,,,IL2_EX,,,P60568,protein,,,,,,,,,,I,,PMC4418530,
MTORC2,,,Q6R330,Complex,,,,,,IL2_R,,,P01589,protein,,,,,,,,,,I,,PMC4418530,
PIP3,,,HMDB10147,protein,,,,,,,,,,,,,AKT,be_AKT,be,AKT,family,,,I,,PMC4418530,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,PKC,be_PKC,be,PKC,family,,,I,,PMCPMC5821214,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,antigen,uaz_UA-BP-GGP-00007,uaz,UA-BP-GGP-00007,protein,,,I,,PMCPMC5821214,
TCR,uniprot_P04234,uniprot,P04234,protein,,,,,,,,,,,,,phosphatase,pfam_PF15698,pfam,PF15698,family,,,I,,PMCPMC5821214,
antigen,uaz_UA-BP-GGP-00007,uaz,UA-BP-GGP-00007,protein,,,,,,,,,,,,,PTEN,uniprot_P60484,uniprot,P60484,protein,,,I,,PMCPMC5821214,
antigen,uaz_UA-BP-GGP-00007,uaz,UA-BP-GGP-00007,protein,,,,,,,,,,,,,PKC_,uaz_UAZ10900,uaz,UAZ10900,protein,,,I,,PMCPMC5821214,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,ITK_SYK,uaz_UAZ10887,uaz,UAZ10887,protein,,,I,,PMCPMC5821214,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,AKT,be_AKT,be,AKT,family,,,I,,PMCPMC5821214,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,PI3K,be_PI3K,be,PI3K,protein,,,I,,PMCPMC5821214,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,AKT,be_AKT,be,AKT,family,,,I,,PMCPMC5821214,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,PKC_,uaz_UAZ10900,uaz,UAZ10900,protein,,,I,,PMCPMC5821214,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,PD_1,uniprot_P18621,uniprot,P18621,protein,,,I,,PMCPMC5821214,
AKT,be_AKT,be,AKT,family,,,,,,,,,,,,,PD_1,uniprot_P18621,uniprot,P18621,protein,,,I,,PMCPMC5821214,
PI3K,be_PI3K,be,PI3K,protein,,,,,,,,,,,,,PD_1,uniprot_P18621,uniprot,P18621,protein,,,I,,PMCPMC5821214,
PKC_,uaz_UAZ10900,uaz,UAZ10900,protein,,,,,,,,,,,,,death,pfam_PF00531,pfam,PF00531,family,,,I,,PMCPMC5821214,
PI3K,be_PI3K,be,PI3K,protein,,,,,,,,,,,,,PD_1,uniprot_P18621,uniprot,P18621,protein,,,I,,PMCPMC5821214,
PI3K,be_PI3K,be,PI3K,protein,,,,,,,,,,,,,ITK_SYK,uaz_UAZ10887,uaz,UAZ10887,protein,,,I,,PMCPMC5821214,
PI3K,be_PI3K,be,PI3K,protein,,,,,,,,,,,,,Akt,be_AKT,be,AKT,family,,,I,,PMCPMC5821214,
mTORC1_inhibitors,uaz_UAZ10909,uaz,UAZ10909,simple-chemical,,,,,,,,,,,,,SYK,uniprot_P43405,uniprot,P43405,protein,,,I,,PMCPMC5765289,
Rapamycin,pubchem_5284616,pubchem,5284616,simple-chemical,,,,,,,,,,,,,ATL,uaz_UAZ10917,uaz,UAZ10917,protein,,,I,,PMCPMC5765289,
Rapamycin,pubchem_5284616,pubchem,5284616,simple-chemical,,,,,,,,,,,,,proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,I,,PMCPMC5765289,
PP242,pubchem_24905147,pubchem,24905147,simple-chemical,,,,,,,,,,,,,proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,I,,PMCPMC5765289,
LY294002,pubchem_3973,pubchem,3973,simple-chemical,,,,,,,,,,,,,translation,go_GO:0006412,go,GO:0006412,bioprocess,,,I,,PMCPMC5765289,
rapamycin,pubchem_5284616,pubchem,5284616,simple-chemical,,,,,,,,,,,,,apoptosis,go_GO:0006915,go,GO:0006915,bioprocess,,,I,,PMCPMC5765289,
mTORC1_inhibitors,uaz_UAZ10909,uaz,UAZ10909,simple-chemical,,,,,,,,,,,,,PI3K,uaz_UAZ02107,uaz,UAZ02107,protein,,,I,,PMCPMC5765289,
AZD8055,pubchem_25262965,pubchem,25262965,simple-chemical,,,,,,,,,,,,,PI3K,uaz_UAZ02107,uaz,UAZ02107,protein,,,I,,PMCPMC5765289,
PP242,pubchem_24905147,pubchem,24905147,simple-chemical,,,,,,,,,,,,,mTORC2,be_mTORC2,be,mTORC2,protein,,,I,,PMCPMC5765289,
mTORC1,be_mTORC1,be,mTORC1,protein,,,,,,,,,,,,,rapamycin,pubchem_5284616,pubchem,5284616,simple-chemical,,,I,,PMCPMC5765289,
mTORC1,be_mTORC1,be,mTORC1,protein,,,,,,,,,,,,,apoptosis,go_GO:0006915,go,GO:0006915,bioprocess,,,I,,PMCPMC5765289,
mTORC1_inhibitors,uaz_UAZ10909,uaz,UAZ10909,simple-chemical,,,,,,,,,,,,,quiescence,go_GO:0044838,go,GO:0044838,bioprocess,,,I,,PMCPMC5765289,
Tsc1,uniprot_Q92574,uniprot,Q92574,protein,,,,,,,,,,,,,PI3K,be_PI3K,be,PI3K,protein,,,I,,PMCPMC4297581,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,PTEN,uniprot_P60484,uniprot,P60484,protein,,,I,,PMCPMC4297581,
reg,uniprot_P05451,uniprot,P05451,protein,,,,,,,,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,I,,PMCPMC4297581,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,mTORC2,be_mTORC2,be,mTORC2,protein,,,I,,PMCPMC4297581,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,GCs,uniprot_Q16739,uniprot,Q16739,protein,,,I,,PMCPMC4297581,
IFN__,uaz_UAZ00353,uaz,UAZ00353,protein,,,,,,,,,,,,,FH,uniprot_P07954,uniprot,P07954,protein,,,I,,PMCPMC4297581,
IFN__,uaz_UAZ00353,uaz,UAZ00353,protein,,,,,,,,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,I,,PMCPMC4297581,
CD25,uniprot_P01589,uniprot,P01589,protein,,,,,,,,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,I,,PMCPMC4297581,
Foxp3,uniprot_B7ZLG1,uniprot,B7ZLG1,protein,,,,,,,,,,,,,mTORC2,be_mTORC2,be,mTORC2,protein,,,I,,PMCPMC4297581,
Rictor,uniprot_Q6R327,uniprot,Q6R327,protein,,,,,,,,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,I,,PMCPMC4297581,
Rictor,uniprot_Q6R327,uniprot,Q6R327,protein,,,,,,,,,,,,,FH,uniprot_P07954,uniprot,P07954,protein,,,I,,PMCPMC4297581,
PTEN_mTORC2_axis,uaz_UAZ10940,uaz,UAZ10940,protein,,,,,,,,,,,,,FR,uniprot_P30043,uniprot,P30043,protein,,,I,,PMCPMC4297581,
Bcl6,uniprot_P41182,uniprot,P41182,protein,,,,,,,,,,,,,FR,uniprot_P30043,uniprot,P30043,protein,,,I,,PMCPMC4297581,
IL_21,uniprot_Q9HBE4,uniprot,Q9HBE4,protein,,,,,,,,,,,,,FR,uniprot_P30043,uniprot,P30043,protein,,,I,,PMCPMC4297581,
Blimp1,uniprot_O75626,uniprot,O75626,protein,,,,,,,,,,,,,FR,uniprot_P30043,uniprot,P30043,protein,,,I,,PMCPMC4297581,
Granzyme_B,uniprot_P10144,uniprot,P10144,protein,,,,,,,,,,,,,FR,uniprot_P30043,uniprot,P30043,protein,,,I,,PMCPMC4297581,
IL_4,uniprot_P05112,uniprot,P05112,protein,,,,,,,,,,,,,cell_growth,go_GO:0016049,go,GO:0016049,bioprocess,,,I,,PMCPMC4297581,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,NOTCH1,uniprot_P46531,uniprot,P46531,protein,,,I,,PMCPMC5521878,
FBXW7,uniprot_Q969H0,uniprot,Q969H0,protein,,,,,,,,,,,,,NOTCH1,uniprot_P46531,uniprot,P46531,protein,,,I,,PMCPMC5618553,
protein,pfam_PF00066,pfam,PF00066,family,,,,,,,,,,,,,cell_cycle,go_GO:0007049,go,GO:0007049,bioprocess,,,I,,PMCPMC5618553,
Raptor,uniprot_Q8N122,uniprot,Q8N122,protein,,,,,,,,,,,,,cell_cycle,go_GO:0007049,go,GO:0007049,bioprocess,,,I,,PMCPMC5618553,
mammalian_target_of_rapamycin,uniprot_P42345,uniprot,P42345,protein,,,,,,,,,,,,,mTORC1,be_mTORC1,be,mTORC1,protein,,,I,,PMCPMC5618553,
run,pfam_PF02759,pfam,PF02759,family,,,,,,,,,,,,,mTORC1,be_mTORC1,be,mTORC1,protein,,,I,,PMCPMC5618553,
rapamycin,pubchem_5284616,pubchem,5284616,simple-chemical,,,,,,,,,,,,,clathrin,be_Clathrin,be,Clathrin,protein,,,I,,PMCPMC5618553,
dynamin_2,uniprot_P50570,uniprot,P50570,protein,,,,,,,,,,,,,endocytosis,go_GO:0006897,go,GO:0006897,bioprocess,,,I,,PMCPMC5618553,
dynamin_2,uniprot_P50570,uniprot,P50570,protein,,,,,,,,,,,,,clathrin,be_Clathrin,be,Clathrin,protein,,,I,,PMCPMC5618553,
DNM2,uniprot_P50570,uniprot,P50570,protein,,,,,,,,,,,,,IL_7R,uniprot_P16871,uniprot,P16871,protein,,,I,,PMCPMC5618553,
DNM2,uniprot_P50570,uniprot,P50570,protein,,,,,,,,,,,,,endocytosis,go_GO:0006897,go,GO:0006897,bioprocess,,,I,,PMCPMC5618553,
DNM2,uniprot_P50570,uniprot,P50570,protein,,,,,,,,,,,,,IL_7R,uniprot_P16871,uniprot,P16871,protein,,,I,,PMCPMC5618553,
dynamin_2,uniprot_P50570,uniprot,P50570,protein,,,,,,,,,,,,,RAS,pfam_PF00071,pfam,PF00071,family,,,I,,PMCPMC5618553,
tumor_suppressor_protein,uniprot_Q9BT92,uniprot,Q9BT92,protein,,,,,,,,,,,,,RAS,pfam_PF00071,pfam,PF00071,family,,,I,,PMCPMC5618553,
protein,pfam_PF00066,pfam,PF00066,family,,,,,,,,,,,,,IKK_complex,be_IKK_complex,be,IKK_complex,protein,,,I,,PMCPMC5618553,
deubiquitinase,uniprot_Q47013,uniprot,Q47013,protein,,,,,,,,,,,,,Cn,uniprot_A1Z746,uniprot,A1Z746,protein,,,I,,PMCPMC5618553,
CsA,uniprot_Q13216,uniprot,Q13216,protein,,,,,,,,,,,,,LIC,interpro_IPR006201,interpro,IPR006201,family,,,I,,PMCPMC5618553,
CXCL12,uniprot_P48061,uniprot,P48061,protein,,,,,,,,,,,,,LIC,interpro_IPR006201,interpro,IPR006201,family,,,I,,PMCPMC5618553,
CXCR4,uniprot_P61073,uniprot,P61073,protein,,,,,,,,,,,,,__catenin,uaz_UAZ00094,uaz,UAZ00094,protein,,,I,,PMCPMC5618553,
Axin,uniprot_O15169,uniprot,O15169,protein,,,,,,,,,,,,,__catenin,uaz_UAZ00094,uaz,UAZ00094,protein,,,I,,PMCPMC5618553,
APC,uniprot_P25054,uniprot,P25054,protein,,,,,,,,,,,,,proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,I,,PMCPMC5618553,
AMPK,be_AMPK,be,AMPK,protein,,,,,,,,,,,,,apoptosis,go_GO:0006915,go,GO:0006915,bioprocess,,,I,,PMCPMC5618553,
AMPK,be_AMPK,be,AMPK,protein,,,,,,,,,,,,,TAL1,uniprot_P17542,uniprot,P17542,protein,,,I,,PMCPMC5618553,
c_KIT,uaz_UAZ09569,uaz,UAZ09569,protein,,,,,,,,,,,,,c_KIT,uaz_UAZ09569,uaz,UAZ09569,protein,,,I,,PMCPMC5886055,
dasatinib,pubchem_11540687,pubchem,11540687,simple-chemical,,,,,,,,,,,,,differentiation,go_GO:0030154,go,GO:0030154,bioprocess,,,I,,PMCPMC5886055,
TAL1,uniprot_P17542,uniprot,P17542,protein,,,,,,,,,,,,,Bim,uniprot_O43521,uniprot,O43521,protein,,,I,,PMCPMC5886055,
miR181,uaz_UAZ11074,uaz,UAZ11074,protein,,,,,,,,,,,,,proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,I,,PMCPMC4575996,
miR26b,uaz_UAZ11084,uaz,UAZ11084,protein,,,,,,,,,,,,,luciferase,uniprot_P08659,uniprot,P08659,protein,,,I,,PMCPMC5986278,
miR_26b,uaz_UAZ11084,uaz,UAZ11084,protein,,,,,,,,,,,,,p110,be_PI3K_p110,be,PI3K_p110,family,,,I,,PMCPMC5986278,
miR_26b,uaz_UAZ11084,uaz,UAZ11084,protein,,,,,,,,,,,,,translation,go_GO:0006412,go,GO:0006412,bioprocess,,,I,,PMCPMC5986278,
miR_26b,uaz_UAZ11084,uaz,UAZ11084,protein,,,,,,,,,,,,,PI3K,be_PI3K,be,PI3K,protein,,,I,,PMCPMC5986278,
miR_26b,uaz_UAZ11084,uaz,UAZ11084,protein,,,,,,,,,,,,,PIK3CD,uniprot_O00329,uniprot,O00329,protein,,,I,,PMCPMC5986278,
CAL_101,pubchem_11625818,pubchem,11625818,simple-chemical,,,,,,,,,,,,,PI3K,be_PI3K,be,PI3K,protein,,,I,,PMCPMC5986278,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,IK1,uniprot_O15554,uniprot,O15554,protein,,,I,,PMCPMC5986278,
IK_DN,uniprot_Q13123,uniprot,Q13123,protein,,,,,,,,,,,,,AKT,be_AKT,be,AKT,family,,,I,,PMCPMC5986278,
miR_26b,uaz_UAZ11084,uaz,UAZ11084,protein,,,,,,,,,,,,,PI3K,be_PI3K,be,PI3K,protein,,,I,,PMCPMC5986278,
miR_26b,uaz_UAZ11084,uaz,UAZ11084,protein,,,,,,,,,,,,,cell_proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,I,,PMCPMC5986278,
miR_26b,uaz_UAZ11084,uaz,UAZ11084,protein,,,,,,,,,,,,,apoptosis,go_GO:0006915,go,GO:0006915,bioprocess,,,I,,PMCPMC5986278,
PI3K,be_PI3K,be,PI3K,protein,,,,,,,,,,,,,apoptosis,go_GO:0006915,go,GO:0006915,bioprocess,,,I,,PMCPMC5986278,
p110,be_PI3K_p110,be,PI3K_p110,family,,,,,,,,,,,,,proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,I,,PMCPMC5986278,
CAL_101,pubchem_11625818,pubchem,11625818,simple-chemical,,,,,,,,,,,,,p53,uniprot_P04637,uniprot,P04637,protein,,,I,,PMCPMC5986278,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,IK1,uniprot_O15554,uniprot,O15554,protein,,,I,,PMCPMC5986278,
Ikaros,uniprot_Q13422,uniprot,Q13422,protein,,,,,,,,,,,,,Notch,pfam_PF00066,pfam,PF00066,family,,,I,,PMCPMC5986278,
miR_26b,uaz_UAZ11084,uaz,UAZ11084,protein,,,,,,,,,,,,,CAR,uniprot_P36575,uniprot,P36575,protein,,,I,,PMCPMC5986278,
Akt,be_AKT,be,AKT,family,,,,,,,,,,,,,Akt1,uniprot_P31749,uniprot,P31749,protein,,,I,,PMCPMC5359873,
Akti_VIII,uaz_UAZ11127,uaz,UAZ11127,protein,,,,,,,,,,,,,Akt2,uniprot_P31751,uniprot,P31751,protein,,,I,,PMCPMC5359873,
Akti_VIII,uaz_UAZ11127,uaz,UAZ11127,protein,,,,,,,,,,,,,CAR,uniprot_P36575,uniprot,P36575,protein,,,I,,PMCPMC5359873,
Akti,uniprot_P85498,uniprot,P85498,protein,,,,,,,,,,,,,differentiation,go_GO:0030154,go,GO:0030154,bioprocess,,,I,,PMCPMC5359873,
Akti,uniprot_P85498,uniprot,P85498,protein,,,,,,,,,,,,,cytokine_production,go_GO:0001816,go,GO:0001816,bioprocess,,,I,,PMCPMC5359873,
Akt,be_AKT,be,AKT,family,,,,,,,,,,,,,CM,pubchem_23979,pubchem,23979,simple-chemical,,,I,,PMCPMC5359873,
Akti,uniprot_P85498,uniprot,P85498,protein,,,,,,,,,,,,,differentiation,go_GO:0030154,go,GO:0030154,bioprocess,,,I,,PMCPMC5359873,
IL_2,uniprot_P60568,uniprot,P60568,protein,,,,,,,,,,,,,differentiation,go_GO:0030154,go,GO:0030154,bioprocess,,,I,,PMCPMC3949578,
STAT5,be_STAT5,be,STAT5,family,,,,,,,,,,,,,CD4,uniprot_P01730,uniprot,P01730,protein,,,I,,PMCPMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,,,,,,,,FoxP3,uniprot_B7ZLG1,uniprot,B7ZLG1,protein,,,I,,PMCPMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,,,,,,,,FoxP3,uniprot_B7ZLG1,uniprot,B7ZLG1,protein,,,I,,PMCPMC3949578,
TCR,uniprot_P04234,uniprot,P04234,protein,,,,,,,,,,,,,FoxP3,uniprot_B7ZLG1,uniprot,B7ZLG1,protein,,,I,,PMCPMC3949578,
anti_CD28,uaz_UAZ11134,uaz,UAZ11134,protein,,,,,,,,,,,,,anti_CD3,uaz_UAZ11135,uaz,UAZ11135,protein,,,I,,PMCPMC3949578,
PI3K_inhibitor,uaz_UAZ08820,uaz,UAZ08820,simple-chemical,,,,,,,,,,,,,FoxP3,uniprot_B7ZLG1,uniprot,B7ZLG1,protein,,,I,,PMCPMC3949578,
PI3K_inhibitor,uaz_UAZ08820,uaz,UAZ08820,simple-chemical,,,,,,,,,,,,,IL_2,uniprot_P60568,uniprot,P60568,protein,,,I,,PMCPMC3949578,
TCR,uniprot_P04234,uniprot,P04234,protein,,,,,,,,,,,,,mTOR,uniprot_P42345,uniprot,P42345,protein,,,I,,PMCPMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,,,,,,,,PI3K_,be_PI3K,be,PI3K,protein,,,I,,PMCPMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,,,,,,,,Pten,uniprot_P60484,uniprot,P60484,protein,,,I,,PMCPMC3949578,
TCR,uniprot_P04234,uniprot,P04234,protein,,,,,,,,,,,,,IFN__,uaz_UAZ00353,uaz,UAZ00353,protein,,,I,,PMCPMC3949578,
reg,uniprot_P05451,uniprot,P05451,protein,,,,,,,,,,,,,IL17,uniprot_Q16552,uniprot,Q16552,protein,,,I,,PMCPMC3949578,
reg,uniprot_P05451,uniprot,P05451,protein,,,,,,,,,,,,,IL17A,uniprot_Q16552,uniprot,Q16552,protein,,,I,,PMCPMC3949578,
CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,,,,,,,,IL17A,uniprot_Q16552,uniprot,Q16552,protein,,,I,,PMCPMC3949578,
_,uaz_UAZ00244,uaz,UAZ00244,simple-chemical,,,,,,,,,,,,,FoxP3,uniprot_B7ZLG1,uniprot,B7ZLG1,protein,,,I,,PMCPMC3949578,
CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,,,,,,,,FoxP3,uniprot_B7ZLG1,uniprot,B7ZLG1,protein,,,I,,PMCPMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,,,,,,,,Myc,uniprot_P01106,uniprot,P01106,protein,,,I,,PMCPMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,,,,,,,,miRNA_19b,uaz_UAZ11142,uaz,UAZ11142,protein,,,I,,PMCPMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,,,,,,,,TCR,uniprot_P04234,uniprot,P04234,protein,,,I,,PMCPMC3949578,
Pten,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,I,,PMCPMC3949578,
ERK,be_ERK,be,ERK,family,,,,,,,,,,,,,cell_differentiation,go_GO:0030154,go,GO:0030154,bioprocess,,,I,,PMCPMC3949578,
ERK,be_ERK,be,ERK,family,,,,,,,,,,,,,CK2,,,Q53GL0,protein,,,I,,PMCPMC3949578,
PTEN,,,P60486,protein,,,,,,,,,,,,,NEDD4,,,P46934,protein,,,I,,PMC4418530,
PTEN,,,P60487,protein,,,,,,,,,,,,,AKT,,,P31749,protein,,,I,,PMC4418530,
MTORC2,,,Q6R327,Complex,,,,,,,,,,,,,PTEN,,,P60484,protein,,,I,,PMC4418530,
PIP3,,,HMDB10148,protein,,,,,,,,,,,,,,,,,,,,I,,PMC4418530,
