index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
154,mtorc1,protein,,,,mtorc1,,,mammalian_target_of_rapamycin,protein,,,uniprot,p42345,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5618553,1,10,11,1,21
158,mtorc1,protein,,,,mtorc1,,,tsc1,protein,,,uniprot,q92574,,,positive,i,,,,,,,nan,nan,nan,pmcpmc4297581,1,10,11,1,21
