,Element Name,Element Type,Element ID,Positive Reg Name,Positive Reg Type,Positive Reg ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Connection Type,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
407,kras,protein,p01116,nan,protein,nan,mm-151,protein,uaz12741,i,"['none', 'none']","['pmc4695180', 'pmc4695180']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
656,ras,family,pf00071,ksr,protein,q8ivt5,nan,nan,nan,i,"['none', 'none']","['pmc4020307', 'pmc4020307']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
660,ras,family,pf00071,nan,protein,nan,crebbp,protein,q92793,i,"['none', 'none']","['pmc5395114', 'pmc5395114']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
243,erk,family,erk,fgf2,protein,p09038,nan,nan,nan,i,"['none', 'none']","['pmc4440819', 'pmc4440819']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
482,mek,family,mek,nan,simple-chemical,nan,pd0325901,simple-chemical,9826528,i,"['none', 'none']","['pmc5723691', 'pmc5723691']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
478,mek,family,mek,map4k4,protein,o95819,nan,nan,nan,i,"['none', 'none']","['pmc5467491', 'pmc5467491']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
453,mapk,family,erk,nan,protein,nan,rgz,protein,uaz13401,i,"['none', 'none']","['pmc5190119', 'pmc5190119']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
678,ras,family,pf00071,nan,protein,nan,sfl1,protein,p20134,i,"['none', 'none']","['pmc4618523', 'pmc4618523']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
454,mapk,family,erk,nan,protein,nan,sirt1,protein,q96eb6,i,"['none', 'none']","['pmc5372348', 'pmc5372348']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
456,mapk,family,erk,nan,simple-chemical,nan,cisplatin,simple-chemical,441203,i,"['none', 'none']","['pmc5537703', 'pmc5537703']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
671,ras,family,pf00071,nan,protein,nan,neurofibromin,protein,p21359,i,"['none', 'none']","['pmc6194127', 'pmc6194127']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
458,mapk,family,erk,pbx3,protein,p40426,nan,nan,nan,i,"['none', 'none']","['pmc5609034', 'pmc5609034']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
459,mapk,family,erk,ppar,protein,q07869,nan,nan,nan,i,"['none', 'none']","['pmc5190119', 'pmc5190119']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
89,braf,protein,p15056,nan,protein,nan,encorafenib,protein,uaz13263,i,"['none', 'none']","['pmc6472057', 'pmc6472057']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
672,ras,family,pf00071,nan,protein,nan,nf1,protein,p21359,i,"['none', 'none']","['pmc4846800', 'pmc4846800']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
673,ras,family,pf00071,nan,protein,nan,nm23-h1,protein,p15531,i,"['none', 'none']","['pmc4020307', 'pmc4020307']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
207,egf,protein,p01133,map4k4,protein,o95819,nan,nan,nan,i,"['none', 'none']","['pmc5467491', 'pmc5467491']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
388,jnk,family,jnk,nan,protein,nan,ppar,protein,q07869,i,"['none', 'none']","['pmc5190119', 'pmc5190119']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
442,mapk,family,erk,letrozole,simple-chemical,3902,nan,nan,nan,i,"['none', 'none']","['pmc5958651', 'pmc5958651']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
568,p38mapk,family,p38,nan,simple-chemical,nan,sb203580,simple-chemical,176155,i,"['none', 'none']","['pmc5372348', 'pmc5372348']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
382,jnk,family,jnk,jip1,protein,q9uqf2,nan,nan,nan,i,"['none', 'none']","['pmc5636874', 'pmc5636874']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
570,p53,protein,p04637,nan,family,nan,e3 ubiquitin ligase,family,pf12483,i,"['none', 'none']","['pmc5537703', 'pmc5537703']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
741,tert,protein,o14746,gabpa,protein,q06546,nan,nan,nan,i,"['none', 'none']","['pmc5288173', 'pmc5288173']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
756,tlr4,protein,o00206,nan,protein,nan,ppar,protein,q07869,i,"['none', 'none']","['pmc5190119', 'pmc5190119']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
5,akt,family,akt,nan,protein,nan,ptprs,protein,q13332,i,"['none', 'none']","['pmc6006154', 'pmc6006154']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
282,erk,family,erk,nan,simple-chemical,nan,pp2a inhibitor,simple-chemical,uaz12906,i,"['none', 'none']","['pmc5467491', 'pmc5467491']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
281,erk,family,erk,nan,simple-chemical,nan,pd0325901,simple-chemical,9826528,i,"['none', 'none']","['pmc5723691', 'pmc5723691']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
279,erk,family,erk,nan,simple-chemical,nan,oa,simple-chemical,4628,i,"['none', 'none']","['pmc5467491', 'pmc5467491']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
632,rac1,protein,p63000,nan,protein,nan,nm23,protein,p15531,i,"['none', 'none']","['pmc4020307', 'pmc4020307']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
555,p38,family,p38,map4k4,protein,o95819,nan,nan,nan,i,"['none', 'none']","['pmc5467491', 'pmc5467491']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
410,kras,protein,p01116,nan,protein,nan,nras,protein,p01111,i,"['none', 'none']","['pmc4695180', 'pmc4695180']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
408,kras,protein,p01116,nan,protein,nan,mm-327,protein,uaz12749,i,"['none', 'none']","['pmc4695180', 'pmc4695180']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
440,mapk,family,erk,ksr,protein,q8ivt5,nan,nan,nan,i,"['none', 'none']","['pmc4020307', 'pmc4020307']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
563,p38 mapk,family,p38,sa,simple-chemical,7009579,nan,nan,nan,i,"['none', 'none']","['pmc4783893', 'pmc4783893']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
439,mapk,family,erk,guanine,simple-chemical,764,nan,nan,nan,i,"['none', 'none']","['pmc5537703', 'pmc5537703']","['nan', 'nan']",2,100.0,40.0,1.0,240.0
212,egfr,protein,p00533,ptprs,protein,q13332,nan,nan,nan,i,['none'],['pmc6006154'],['nan'],1,100.0,40.0,1.0,140.0
564,p38 mapk,family,p38,stearic acid,simple-chemical,5281,nan,nan,nan,i,['none'],['pmc4783893'],['nan'],1,100.0,40.0,1.0,140.0
566,p38mapk,family,p38,il-1,family,pf00340,nan,nan,nan,i,['none'],['pmc5372348'],['nan'],1,100.0,40.0,1.0,140.0
