,Element Name,Element Type,Element ID,Positive Reg Name,Positive Reg Type,Positive Reg ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Connection Type,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
677,ras,family,pf00071,nan,protein,nan,rgs19,protein,p49795,i,['none'],['pmc4020307'],['nan'],1,100.0,40.0,1.0,140.0
668,ras,family,pf00071,nan,protein,nan,mir-382-5p,protein,uaz12803,i,['none'],['pmc5410235'],['nan'],1,100.0,40.0,1.0,140.0
83,bp,simple-chemical,2336,nan,protein,nan,cas9,protein,j3f2b0,i,['none'],['pmc5127645'],['nan'],1,100.0,40.0,1.0,140.0
86,braf,protein,p15056,dusp6,protein,q16828,nan,nan,nan,i,['none'],['pmc5599027'],['nan'],1,100.0,40.0,1.0,140.0
88,braf,protein,p15056,nan,family,nan,erk1/2,family,erk,i,['none'],['pmc4179759'],['nan'],1,100.0,40.0,1.0,140.0
91,braf,protein,p15056,nan,protein,nan,plx4032,protein,uaz00175,i,['none'],['pmc6472057'],['nan'],1,100.0,40.0,1.0,140.0
92,braf,protein,p15056,nan,simple-chemical,nan,vemurafenib,simple-chemical,42611257,i,['none'],['pmc4695180'],['nan'],1,100.0,40.0,1.0,140.0
93,braf,protein,p15056,ptprs,protein,q13332,nan,nan,nan,i,['none'],['pmc6006154'],['nan'],1,100.0,40.0,1.0,140.0
94,braf,protein,p15056,selumetinib,simple-chemical,10127622,nan,nan,nan,i,['none'],['pmc4179759'],['nan'],1,100.0,40.0,1.0,140.0
675,ras,family,pf00071,nan,protein,nan,pam,protein,o75592,i,['none'],['pmc5069826'],['nan'],1,100.0,40.0,1.0,140.0
674,ras,family,pf00071,nan,protein,nan,nst,protein,q9br01,i,['none'],['pmc5049993'],['nan'],1,100.0,40.0,1.0,140.0
99,c-raf,protein,p04049,sb202190,simple-chemical,5353940,nan,nan,nan,i,['none'],['pmc4783893'],['nan'],1,100.0,40.0,1.0,140.0
101,caspase-7,protein,p55210,sa,simple-chemical,7009579,nan,nan,nan,i,['none'],['pmc4783893'],['nan'],1,100.0,40.0,1.0,140.0
670,ras,family,pf00071,nan,protein,nan,ndpks,protein,uaz12654,i,['none'],['pmc4020307'],['nan'],1,100.0,40.0,1.0,140.0
689,ras,family,pf00071,sos,family,sos,nan,nan,nan,i,['none'],['pmc6356706'],['nan'],1,100.0,40.0,1.0,140.0
59,ar,protein,p10275,nan,protein,nan,page4,protein,o60829,i,['none'],['pmc6339303'],['nan'],1,100.0,40.0,1.0,140.0
690,ras,family,pf00071,tgf- β,protein,uaz00333,nan,nan,nan,i,['none'],['pmc4440819'],['nan'],1,100.0,40.0,1.0,140.0
691,ras,family,pf00071,tgf-β,family,uaz00333,nan,nan,nan,i,['none'],['pmc4440819'],['nan'],1,100.0,40.0,1.0,140.0
6,akt,family,akt,ptprs,protein,q13332,nan,nan,nan,i,['none'],['pmc6006154'],['nan'],1,100.0,40.0,1.0,140.0
8,akt,family,akt,tgf- β,protein,uaz00333,nan,nan,nan,i,['none'],['pmc4440819'],['nan'],1,100.0,40.0,1.0,140.0
9,akt,family,akt,tgf-β1,protein,uaz02902,nan,nan,nan,i,['none'],['pmc4440819'],['nan'],1,100.0,40.0,1.0,140.0
12,ampk,protein,ampk,nan,simple-chemical,nan,erk inhibitor,simple-chemical,uaz00224,i,['none'],['pmc5723691'],['nan'],1,100.0,40.0,1.0,140.0
13,ampk,protein,ampk,nan,simple-chemical,nan,pd0325901,simple-chemical,9826528,i,['none'],['pmc5723691'],['nan'],1,100.0,40.0,1.0,140.0
373,integrin,protein,p08648,gc1q ligand,protein,uaz12886,nan,nan,nan,i,['none'],['pmc5432316'],['nan'],1,100.0,40.0,1.0,140.0
759,tnf,protein,p01375,jip1,protein,q9uqf2,nan,nan,nan,i,['none'],['pmc5636874'],['nan'],1,100.0,40.0,1.0,140.0
757,tlr4,protein,o00206,nan,protein,nan,rgz,protein,uaz13401,i,['none'],['pmc5190119'],['nan'],1,100.0,40.0,1.0,140.0
356,ifn,family,interferon,nan,protein,nan,ras/raf/mek/erk,protein,uaz00068,i,['none'],['pmc4535867'],['nan'],1,100.0,40.0,1.0,140.0
740,tert,protein,o14746,ets1,protein,p14921,nan,nan,nan,i,['none'],['pmc5288173'],['nan'],1,100.0,40.0,1.0,140.0
353,her2,protein,p04626,nan,simple-chemical,nan,afatinib,simple-chemical,10184653,i,['none'],['pmc5127645'],['nan'],1,100.0,40.0,1.0,140.0
383,jnk,family,jnk,jip1-phosphatase,protein,uaz13059,nan,nan,nan,i,['none'],['pmc5636874'],['nan'],1,100.0,40.0,1.0,140.0
736,stat3,protein,p40763,nan,simple-chemical,nan,pd0325901,simple-chemical,9826528,i,['none'],['pmc3843736'],['nan'],1,100.0,40.0,1.0,140.0
732,src,family,src,nan,protein,nan,c-src,protein,uaz09887,i,['none'],['pmc5833015'],['nan'],1,100.0,40.0,1.0,140.0
725,smad,family,smad,nan,protein,nan,smad7,protein,o15105,i,['none'],['pmc4440819'],['nan'],1,100.0,40.0,1.0,140.0
724,smad,family,smad,nan,family,nan,e3 ubiquitin ligase,family,pf12483,i,['none'],['pmc4440819'],['nan'],1,100.0,40.0,1.0,140.0
387,jnk,family,jnk,nan,protein,nan,p600125,protein,uaz12921,i,['none'],['pmc5372348'],['nan'],1,100.0,40.0,1.0,140.0
389,jnk,family,jnk,nan,protein,nan,sirt1,protein,q96eb6,i,['none'],['pmc5372348'],['nan'],1,100.0,40.0,1.0,140.0
390,jnk,family,jnk,nan,simple-chemical,nan,sb203580,simple-chemical,176155,i,['none'],['pmc5372348'],['nan'],1,100.0,40.0,1.0,140.0
391,jnk,family,jnk,nan,simple-chemical,nan,sp600125,simple-chemical,8515,i,['none'],['pmc5372348'],['nan'],1,100.0,40.0,1.0,140.0
392,jnk,family,jnk,ppar,protein,q07869,nan,nan,nan,i,['none'],['pmc5190119'],['nan'],1,100.0,40.0,1.0,140.0
702,ros,simple-chemical,chebi:26523,nan,protein,nan,page4,protein,o60829,i,['none'],['pmc6339303'],['nan'],1,100.0,40.0,1.0,140.0
701,ros,simple-chemical,chebi:26523,cell death,bioprocess,go:0008219,nan,nan,nan,i,['none'],['pmc6339303'],['nan'],1,100.0,40.0,1.0,140.0
393,jnk,family,jnk,ptpn1,protein,p18031,nan,nan,nan,i,['none'],['pmc5636874'],['nan'],1,100.0,40.0,1.0,140.0
692,ras,family,pf00071,tgf-β1,protein,uaz02902,nan,nan,nan,i,['none'],['pmc4440819'],['nan'],1,100.0,40.0,1.0,140.0
669,ras,family,pf00071,nan,protein,nan,ncoa3,protein,q9y6q9,i,['none'],['pmc5755028'],['nan'],1,100.0,40.0,1.0,140.0
85,braf,protein,p15056,dusp5,protein,q16690,nan,nan,nan,i,['none'],['pmc5599027'],['nan'],1,100.0,40.0,1.0,140.0
638,raf,family,raf,raf265,protein,uaz00112,nan,nan,nan,i,['none'],['pmc6472057'],['nan'],1,100.0,40.0,1.0,140.0
652,ras,family,pf00071,gef,protein,q9nr83,nan,nan,nan,i,['none'],['pmc4440819'],['nan'],1,100.0,40.0,1.0,140.0
648,ras,family,pf00071,emt,protein,o75751,nan,nan,nan,i,['none'],['pmc4440819'],['nan'],1,100.0,40.0,1.0,140.0
395,jnk,family,jnk,tpy,simple-chemical,71728353,nan,nan,nan,i,['none'],['pmc5636874'],['nan'],1,100.0,40.0,1.0,140.0
643,raf-1,protein,p04049,pbx3,protein,p40426,nan,nan,nan,i,['none'],['pmc5609034'],['nan'],1,100.0,40.0,1.0,140.0
641,raf,family,raf,vemurafenib,simple-chemical,42611257,nan,nan,nan,i,['none'],['pmc6472057'],['nan'],1,100.0,40.0,1.0,140.0
667,ras,family,pf00071,nan,protein,nan,mir-181a,protein,uaz11673,i,['none'],['pmc5312311'],['nan'],1,100.0,40.0,1.0,140.0
637,raf,family,raf,nan,simple-chemical,nan,braf inhibitors,simple-chemical,uaz00044,i,['none'],['pmc6472057'],['nan'],1,100.0,40.0,1.0,140.0
635,raf,family,raf,ksr,protein,q8ivt5,nan,nan,nan,i,['none'],['pmc4020307'],['nan'],1,100.0,40.0,1.0,140.0
398,jun,protein,p05412,nan,bioprocess,nan,differentiation,bioprocess,go:0030154,i,['none'],['pmc5824365'],['nan'],1,100.0,40.0,1.0,140.0
400,ki-ras,protein,p01116,nan,simple-chemical,nan,butyrate,simple-chemical,264,i,['none'],['pmc5723691'],['nan'],1,100.0,40.0,1.0,140.0
401,ki-ras,protein,p01116,nan,simple-chemical,nan,hdac inhibitor,simple-chemical,uaz03103,i,['none'],['pmc5723691'],['nan'],1,100.0,40.0,1.0,140.0
402,ki-ras,protein,p01116,sodium,simple-chemical,923,nan,nan,nan,i,['none'],['pmc5723691'],['nan'],1,100.0,40.0,1.0,140.0
403,kras,protein,p01116,egfr-ras-erk,protein,uaz12631,nan,nan,nan,i,['none'],['pmc5127645'],['nan'],1,100.0,40.0,1.0,140.0
405,kras,protein,p01116,nan,family,nan,erk1/2,family,erk,i,['none'],['pmc4179759'],['nan'],1,100.0,40.0,1.0,140.0
406,kras,protein,p01116,nan,protein,nan,mir-181a,protein,uaz11673,i,['none'],['pmc5312311'],['nan'],1,100.0,40.0,1.0,140.0
591,pi3k,protein,pi3k,tgf- β,protein,uaz00333,nan,nan,nan,i,['none'],['pmc4440819'],['nan'],1,100.0,40.0,1.0,140.0
650,ras,family,pf00071,fak,protein,q05397,nan,nan,nan,i,['none'],['pmc5432316'],['nan'],1,100.0,40.0,1.0,140.0
438,mapk,family,erk,gnaq,protein,p50148,nan,nan,nan,i,['none'],['pmc4179759'],['nan'],1,100.0,40.0,1.0,140.0
666,ras,family,pf00071,nan,protein,nan,ksr,protein,q8ivt5,i,['none'],['pmc4020307'],['nan'],1,100.0,40.0,1.0,140.0
664,ras,family,pf00071,nan,protein,nan,foxo3,protein,o43524,i,['none'],['pmc5755028'],['nan'],1,100.0,40.0,1.0,140.0
663,ras,family,pf00071,nan,protein,nan,da-raf1,protein,uaz12725,i,['none'],['pmc4440819'],['nan'],1,100.0,40.0,1.0,140.0
653,ras,family,pf00071,geranylgeranyltransferase,protein,uaz12675,nan,nan,nan,i,['none'],['pmc4067595'],['nan'],1,100.0,40.0,1.0,140.0
661,ras,family,pf00071,nan,protein,nan,da-raf,protein,uaz12716,i,['none'],['pmc4440819'],['nan'],1,100.0,40.0,1.0,140.0
659,ras,family,pf00071,mir-382-5p,protein,uaz12803,nan,nan,nan,i,['none'],['pmc5410235'],['nan'],1,100.0,40.0,1.0,140.0
654,ras,family,pf00071,h-ras mutants,protein,uaz12608,nan,nan,nan,i,['none'],['pmc3843736'],['nan'],1,100.0,40.0,1.0,140.0
665,ras,family,pf00071,nan,protein,nan,gtpase activating proteins,protein,uaz12558,i,['none'],['pmc4067595'],['nan'],1,100.0,40.0,1.0,140.0
260,erk,family,erk,nan,protein,nan,da-raf1,protein,p10398,i,"['none', 'none', 'none', 'none', 'none']","['pmc2064279', 'pmc2064279', 'pmc2064279', 'pmc2064279', 'pmc2064279']","['nan', 'nan', 'nan', 'nan', 'nan']",5,10.0,40.0,1.0,90.0
735,stat3,protein,p40763,nan,family,nan,mek,family,mek,i,"['none', 'none', 'none', 'none']","['pmc5537703', 'pmc5537703', 'pmc5537703', 'pmc5537703']","['nan', 'nan', 'nan', 'nan']",4,10.0,40.0,1.0,80.0
257,erk,family,erk,nan,family,nan,p38 mapk,family,p38,i,"['none', 'none', 'none']","['pmc4783893', 'pmc4783893', 'pmc4783893']","['nan', 'nan', 'nan']",3,10.0,40.0,1.0,70.0
380,jak,protein,ua-bp-ggp-00072,nan,family,nan,mek,family,mek,i,"['none', 'none']","['pmc5537703', 'pmc5537703']","['nan', 'nan']",2,10.0,40.0,1.0,60.0
411,kras,protein,p01116,ras,family,pf00071,nan,nan,nan,i,"['none', 'none']","['pmc5395114', 'pmc5908790']","['nan', 'nan']",2,10.0,40.0,1.0,60.0
734,stat3,protein,p40763,mapk,family,erk,nan,nan,nan,i,"['none', 'none']","['pmc5537703', 'pmc5537703']","['nan', 'nan']",2,10.0,40.0,1.0,60.0
589,pi3k,protein,pi3k,pten,protein,p60484,nan,nan,nan,i,['none'],['pmc3843736'],['nan'],1,10.0,40.0,1.0,50.0
263,erk,family,erk,nan,protein,nan,ki-ras,protein,p01116,i,['none'],['pmc5723691'],['nan'],1,10.0,40.0,1.0,50.0
84,bp,simple-chemical,2336,nan,protein,nan,kras,protein,p01116,i,['none'],['pmc5127645'],['nan'],1,10.0,40.0,1.0,50.0
733,src,family,src,pi3k,protein,pi3k,nan,nan,nan,i,['none'],['pmc5833015'],['nan'],1,10.0,40.0,1.0,50.0
585,pi3k,protein,pi3k,cdk4,protein,p11802,nan,nan,nan,i,['none'],['pmc4179759'],['nan'],1,10.0,40.0,1.0,50.0
565,p38 mapk,family,p38,tlr4,protein,o00206,nan,nan,nan,i,['none'],['pmc5190119'],['nan'],1,10.0,40.0,1.0,50.0
399,jun,protein,p05412,nan,simple-chemical,nan,pd,simple-chemical,7079450,i,['none'],['pmc5824365'],['nan'],1,10.0,40.0,1.0,50.0
394,jnk,family,jnk,tlr4,protein,o00206,nan,nan,nan,i,['none'],['pmc5190119'],['nan'],1,10.0,40.0,1.0,50.0
481,mek,family,mek,nan,protein,nan,ki-ras,protein,p01116,i,['none'],['pmc5723691'],['nan'],1,10.0,40.0,1.0,50.0
98,c-raf,protein,p04049,nan,family,nan,p38 mapk,family,p38,i,['none'],['pmc4783893'],['nan'],1,10.0,40.0,1.0,50.0
3,akt,family,akt,cdk4,protein,p11802,nan,nan,nan,i,['none'],['pmc4179759'],['nan'],1,10.0,40.0,1.0,50.0
74,bcl-2,family,p10415,nan,protein,nan,pi3k,protein,pi3k,i,['none'],['pmc4067595'],['nan'],1,10.0,40.0,1.0,50.0
521,mtorc1,protein,mtorc1,nan,family,nan,mek,family,mek,i,['none'],['pmc5723691'],['nan'],1,10.0,40.0,1.0,50.0
463,mapk,family,erk,tlr4,protein,o00206,nan,nan,nan,i,['none'],['pmc5190119'],['nan'],1,10.0,40.0,1.0,50.0
4,akt,family,akt,nan,protein,nan,da-raf1,protein,p10398,i,['none'],['pmc2064279'],['nan'],1,10.0,40.0,1.0,50.0
177,da-raf1,protein,p10398,nan,family,nan,mek,family,mek,i,['none'],['pmc2064279'],['nan'],1,10.0,40.0,1.0,50.0
71,b-raf,protein,p15056,mek,family,mek,nan,nan,nan,i,['none'],['pmc2064279'],['nan'],1,10.0,40.0,1.0,50.0
297,erk,family,erk,tlr4,protein,o00206,nan,nan,nan,i,['none'],['pmc5190119'],['nan'],1,10.0,40.0,1.0,50.0
280,erk,family,erk,nan,simple-chemical,nan,pd,simple-chemical,7079450,i,['none'],['pmc5824365'],['nan'],1,10.0,40.0,1.0,50.0
655,ras,family,pf00071,kras,protein,p01116,nan,nan,nan,i,['none'],['pmc5755028'],['nan'],1,10.0,40.0,1.0,50.0
418,lactate,simple-chemical,hmdb00190,stat3,protein,p40763,nan,nan,nan,i,['none'],['pmc3843736'],['nan'],1,10.0,40.0,1.0,50.0
520,mtorc1,protein,mtorc1,nan,family,nan,erk,family,erk,i,['none'],['pmc5723691'],['nan'],1,10.0,40.0,1.0,50.0
588,pi3k,protein,pi3k,nan,protein,nan,da-raf1,protein,p10398,i,['none'],['pmc2064279'],['nan'],1,10.0,40.0,1.0,50.0
434,mapk,family,erk,dc,protein,uaz01319,nan,nan,nan,i,['none'],['pmc3809567'],['nan'],1,10.0,40.0,1.0,50.0
753,tgf-β1,protein,uaz02902,ras,family,pf00071,nan,nan,nan,i,"['none', 'none', 'none', 'none', 'none', 'none', 'none', 'none']","['pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819']","['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",8,1.0,40.0,1.0,48.0
188,differentiation,bioprocess,go:0030154,nan,family,nan,erk,family,erk,i,"['none', 'none', 'none', 'none', 'none', 'none']","['pmc2064279', 'pmc5824365', 'pmc5824365', 'pmc5824365', 'pmc5824365', 'pmc5824365']","['nan', 'nan', 'nan', 'nan', 'nan', 'nan']",6,1.0,40.0,1.0,46.0
172,cisplatin,simple-chemical,441203,mapk,family,erk,nan,nan,nan,i,"['none', 'none', 'none', 'none']","['pmc5537703', 'pmc5537703', 'pmc5537703', 'pmc5537703']","['nan', 'nan', 'nan', 'nan']",4,1.0,40.0,1.0,44.0
412,ksr,protein,q8ivt5,nan,family,nan,ras,family,pf00071,i,"['none', 'none', 'none', 'none']","['pmc4020307', 'pmc4020307', 'pmc4020307', 'pmc4020307']","['nan', 'nan', 'nan', 'nan']",4,1.0,40.0,1.0,44.0
218,emt,protein,o75751,nan,family,nan,erk,family,erk,i,"['none', 'none', 'none', 'none']","['pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819']","['nan', 'nan', 'nan', 'nan']",4,1.0,40.0,1.0,44.0
597,proliferation,bioprocess,go:0008283,erk,family,erk,nan,nan,nan,i,"['none', 'none', 'none']","['pmc4846800', 'pmc5190119', 'pmc5190119']","['nan', 'nan', 'nan']",3,1.0,40.0,1.0,43.0
45,apoptosis,bioprocess,go:0006915,nan,protein,nan,tlr4,protein,o00206,i,"['none', 'none', 'none']","['pmc5190119', 'pmc5190119', 'pmc5190119']","['nan', 'nan', 'nan']",3,1.0,40.0,1.0,43.0
133,cell death,bioprocess,go:0008219,ros,simple-chemical,chebi:26523,nan,nan,nan,i,"['none', 'none', 'none']","['pmc6339303', 'pmc6339303', 'pmc6339303']","['nan', 'nan', 'nan']",3,1.0,40.0,1.0,43.0
424,lps,simple-chemical,53481793,tlr4,protein,o00206,nan,nan,nan,i,"['none', 'none', 'none']","['pmc5190119', 'pmc5190119', 'pmc5190119']","['nan', 'nan', 'nan']",3,1.0,40.0,1.0,43.0
67,autophagy,bioprocess,go:0006914,nan,family,nan,mek,family,mek,i,"['none', 'none', 'none']","['pmc5723691', 'pmc5723691', 'pmc5723691']","['nan', 'nan', 'nan']",3,1.0,40.0,1.0,43.0
66,autophagy,bioprocess,go:0006914,nan,family,nan,erk,family,erk,i,"['none', 'none', 'none']","['pmc5723691', 'pmc5723691', 'pmc5723691']","['nan', 'nan', 'nan']",3,1.0,40.0,1.0,43.0
625,proliferation,bioprocess,go:0008283,tlr4,protein,o00206,nan,nan,nan,i,"['none', 'none', 'none']","['pmc5190119', 'pmc5190119', 'pmc5190119']","['nan', 'nan', 'nan']",3,1.0,40.0,1.0,43.0
37,apoptosis,bioprocess,go:0006915,nan,family,nan,ras,family,pf00071,i,"['none', 'none', 'none']","['pmc4440819', 'pmc5017527', 'pmc5017527']","['nan', 'nan', 'nan']",3,1.0,40.0,1.0,43.0
748,tgf-β1,protein,uaz02902,emt,protein,o75751,nan,nan,nan,i,"['none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none']","['pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819', 'pmc4440819']","['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",27,0.1,40.0,1.0,42.7
35,apoptosis,bioprocess,go:0006915,nan,family,nan,mapk,family,erk,i,"['none', 'none']","['pmc5833015', 'pmc5190119']","['nan', 'nan']",2,1.0,40.0,1.0,42.0
782,α,simple-chemical,uaz00180,nan,protein,nan,mek1,protein,q02750,i,"['none', 'none']","['pmc4440819', 'pmc4440819']","['nan', 'nan']",2,1.0,40.0,1.0,42.0
430,map4k4,protein,o95819,nan,protein,nan,erk2,protein,p28482,i,"['none', 'none']","['pmc5467491', 'pmc5467491']","['nan', 'nan']",2,1.0,40.0,1.0,42.0
64,autophagy,bioprocess,go:0006914,mek,family,mek,nan,nan,nan,i,"['none', 'none']","['pmc5723691', 'pmc5723691']","['nan', 'nan']",2,1.0,40.0,1.0,42.0
184,differentiation,bioprocess,go:0030154,da-raf1,protein,p10398,nan,nan,nan,i,"['none', 'none']","['pmc2064279', 'pmc2064279']","['nan', 'nan']",2,1.0,40.0,1.0,42.0
601,proliferation,bioprocess,go:0008283,jnk,family,jnk,nan,nan,nan,i,"['none', 'none']","['pmc5190119', 'pmc5190119']","['nan', 'nan']",2,1.0,40.0,1.0,42.0
328,fig,protein,q9hd26,nan,protein,nan,mek1,protein,q02750,i,"['none', 'none']","['pmc4440819', 'pmc4440819']","['nan', 'nan']",2,1.0,40.0,1.0,42.0
47,apoptosis,bioprocess,go:0006915,p38 mapk,family,p38,nan,nan,nan,i,"['none', 'none']","['pmc4783893', 'pmc4783893']","['nan', 'nan']",2,1.0,40.0,1.0,42.0
195,dna damage,bioprocess,d004249,ros,simple-chemical,chebi:26523,nan,nan,nan,i,"['none', 'none']","['pmc6339303', 'pmc6339303']","['nan', 'nan']",2,1.0,40.0,1.0,42.0
29,apoptosis,bioprocess,go:0006915,mapk,family,erk,nan,nan,nan,i,"['none', 'none']","['pmc5729429', 'pmc5190119']","['nan', 'nan']",2,1.0,40.0,1.0,42.0
40,apoptosis,bioprocess,go:0006915,nan,protein,nan,map,protein,p12872,i,"['none', 'none']","['pmc5537703', 'pmc5537703']","['nan', 'nan']",2,1.0,40.0,1.0,42.0
621,proliferation,bioprocess,go:0008283,p38,family,p38,nan,nan,nan,i,"['none', 'none']","['pmc5190119', 'pmc5190119']","['nan', 'nan']",2,1.0,40.0,1.0,42.0
220,emt,protein,o75751,nan,family,nan,ras,family,pf00071,i,"['none', 'none']","['pmc4440819', 'pmc4440819']","['nan', 'nan']",2,1.0,40.0,1.0,42.0
166,cell viability,bioprocess,d002470,nan,simple-chemical,nan,pd,simple-chemical,7079450,i,"['none', 'none']","['pmc5824365', 'pmc5723691']","['nan', 'nan']",2,1.0,40.0,1.0,42.0
107,cd34,protein,p28906,nan,simple-chemical,nan,pd,simple-chemical,7079450,i,"['none', 'none']","['pmc5824365', 'pmc5824365']","['nan', 'nan']",2,1.0,40.0,1.0,42.0
396,jnk mapk,family,jnk,nan,family,nan,jnk,family,jnk,i,['none'],['pmc5636874'],['nan'],1,1.0,40.0,1.0,41.0
378,iqgap,protein,uaz12794,erk,family,erk,nan,nan,nan,i,['none'],['pmc4846800'],['nan'],1,1.0,40.0,1.0,41.0
372,innate immune response,bioprocess,go:0045087,ifn,family,interferon,nan,nan,nan,i,['none'],['pmc4535867'],['nan'],1,1.0,40.0,1.0,41.0
371,injury,bioprocess,go:0090303,p38,family,p38,nan,nan,nan,i,['none'],['pmc5372348'],['nan'],1,1.0,40.0,1.0,41.0
414,ksr2,protein,q6vab6,b-raf,protein,p15056,nan,nan,nan,i,['none'],['pmc4020307'],['nan'],1,1.0,40.0,1.0,41.0
1,adhesion,bioprocess,go:0007155,nan,protein,nan,vegfr-2,protein,p35968,i,['none'],['pmc3809567'],['nan'],1,1.0,40.0,1.0,41.0
534,ncoa3,protein,q9y6q9,nan,protein,nan,kras,protein,p01116,i,['none'],['pmc5755028'],['nan'],1,1.0,40.0,1.0,41.0
469,mda,simple-chemical,10964,nan,protein,nan,braf,protein,p15056,i,['none'],['pmc3809567'],['nan'],1,1.0,40.0,1.0,41.0
622,proliferation,bioprocess,go:0008283,pi3k,protein,pi3k,nan,nan,nan,i,['none'],['pmc3843736'],['nan'],1,1.0,40.0,1.0,41.0
630,ptps,protein,q03393,nan,simple-chemical,nan,ros,simple-chemical,chebi:26523,i,['none'],['pmc5636874'],['nan'],1,1.0,40.0,1.0,41.0
644,raf-mek-erk,protein,uaz00085,ras,family,pf00071,nan,nan,nan,i,['none'],['pmc3843736'],['nan'],1,1.0,40.0,1.0,41.0
646,ral,protein,p11233,ras,family,pf00071,nan,nan,nan,i,['none'],['pmc3843736'],['nan'],1,1.0,40.0,1.0,41.0
696,ras/raf/mek/erk,protein,uaz00068,ras,family,pf00071,nan,nan,nan,i,['none'],['pmc5723691'],['nan'],1,1.0,40.0,1.0,41.0
707,selumetinib,simple-chemical,10127622,akt,family,akt,nan,nan,nan,i,['none'],['pmc4179759'],['nan'],1,1.0,40.0,1.0,41.0
709,senescence,bioprocess,d000375,braf,protein,p15056,nan,nan,nan,i,['none'],['pmc4846800'],['nan'],1,1.0,40.0,1.0,41.0
710,senescence,bioprocess,d000375,er,protein,p03372,nan,nan,nan,i,['none'],['pmc5723691'],['nan'],1,1.0,40.0,1.0,41.0
713,senescence,bioprocess,d000375,mtorc1,protein,mtorc1,nan,nan,nan,i,['none'],['pmc5723691'],['nan'],1,1.0,40.0,1.0,41.0
715,senescence,bioprocess,d000375,nan,protein,nan,ampk,protein,ampk,i,['none'],['pmc5723691'],['nan'],1,1.0,40.0,1.0,41.0
718,senescence,bioprocess,d000375,tp53,protein,p04637,nan,nan,nan,i,['none'],['pmc4494777'],['nan'],1,1.0,40.0,1.0,41.0
721,signal transduction,bioprocess,go:0007165,jnk,family,jnk,nan,nan,nan,i,['none'],['pmc5636874'],['nan'],1,1.0,40.0,1.0,41.0
738,stress-activated protein kinases,protein,uaz08752,akt,family,akt,nan,nan,nan,i,['none'],['pmc4020307'],['nan'],1,1.0,40.0,1.0,41.0
739,tcf7l2,protein,q9nqb0,nan,protein,nan,kras,protein,p01116,i,['none'],['pmc5755028'],['nan'],1,1.0,40.0,1.0,41.0
746,tgf-β,family,uaz00333,nan,family,nan,erk,family,erk,i,['none'],['pmc4440819'],['nan'],1,1.0,40.0,1.0,41.0
747,tgf-β,family,uaz00333,smad,family,smad,nan,nan,nan,i,['none'],['pmc4440819'],['nan'],1,1.0,40.0,1.0,41.0
749,tgf-β1,protein,uaz02902,nan,family,nan,mek,family,mek,i,['none'],['pmc4440819'],['nan'],1,1.0,40.0,1.0,41.0
761,tnt,protein,p13805,daraf1,protein,p10398,nan,nan,nan,i,['none'],['pmc2064279'],['nan'],1,1.0,40.0,1.0,41.0
764,transcription,bioprocess,go:0006351,nan,protein,nan,tert,protein,o14746,i,['none'],['pmc5288173'],['nan'],1,1.0,40.0,1.0,41.0
766,transport,bioprocess,go:0006810,stat3,protein,p40763,nan,nan,nan,i,['none'],['pmc3843736'],['nan'],1,1.0,40.0,1.0,41.0
767,tumor microenvironment,bioprocess,d059016,nan,family,nan,mapk,family,erk,i,['none'],['pmc3809567'],['nan'],1,1.0,40.0,1.0,41.0
769,ubiquitin,protein,p0cg47,erk,family,erk,nan,nan,nan,i,['none'],['pmc4846800'],['nan'],1,1.0,40.0,1.0,41.0
628,ps727,protein,uaz12592,nan,protein,nan,mtor,protein,p42345,i,['none'],['pmc3843736'],['nan'],1,1.0,40.0,1.0,41.0
618,proliferation,bioprocess,go:0008283,nan,simple-chemical,nan,pd,simple-chemical,7079450,i,['none'],['pmc5824365'],['nan'],1,1.0,40.0,1.0,41.0
470,mdm2-p53 axis,protein,uaz12668,nan,protein,nan,pi3k,protein,pi3k,i,['none'],['pmc4067595'],['nan'],1,1.0,40.0,1.0,41.0
