,Element Name,Element Type,Element ID,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,Positive Reg Type,Positive Reg ID,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Negative Reg Location,Negative Reg Location ID,Connection Type,Database Name,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
57,itk,protein,q08881,nan,nan,nan,nan,nan,tcr,protein,p04234,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc3949578'],['nan'],1,1,40,1,41
58,magi1,protein,q6p9h4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,akt,family,p31749,nan,nan,i,['nan'],['nan'],['pmc3625979'],['nan'],1,1,40,1,41
56,itk,protein,q08881,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pten,protein,p60484,nan,nan,i,['nan'],['nan'],['pmc3949578'],['nan'],1,1,40,1,41
50,hsc,protein,p19526,nan,nan,nan,nan,nan,pten,protein,p60484,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc3375464'],['nan'],1,1,40,1,41
59,mek1,protein,q02750,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,akt,family,p31749,nan,nan,i,['nan'],['nan'],['pmc3625979'],['nan'],1,1,40,1,41
55,itk,protein,q08881,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,akt,protein,p31749,nan,nan,i,['nan'],['nan'],['pmc3949578'],['nan'],1,1,40,1,41
54,itk,protein,q08881,nan,nan,nan,nan,nan,il2,protein,p60568,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc3949578'],['nan'],1,1,40,1,41
60,mek1,protein,q02750,nan,nan,nan,nan,nan,tcr,protein,p01850,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4418530'],['nan'],1,1,40,1,41
74,pak1,protein,q13153,nan,nan,nan,nan,nan,mtor,protein,p42345,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4487994'],['nan'],1,1,40,1,41
69,nedd4,protein,p46934,nan,nan,nan,nan,nan,tcr,protein,p04235,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4418530'],['nan'],1,1,40,1,41
75,pak1,protein,q13153,nan,nan,nan,nan,nan,mtorc1,protein,q8n122,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4487994'],['nan'],1,1,40,1,41
76,pak1,protein,q13153,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,mtor,protein,p42345,nan,nan,i,['nan'],['nan'],['pmc4487994'],['nan'],1,1,40,1,41
25,cd4,protein,p01730,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,akt,protein,p31749,nan,nan,i,['nan'],['nan'],['pmc3949578'],['nan'],1,1,40,1,41
45,foxo3,protein,o43524,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,akt,family,p31749,nan,nan,i,['nan'],['nan'],['pmc4496363'],['nan'],1,1,40,1,41
49,gpr83,protein,q9nym4,nan,nan,nan,nan,nan,foxp3,protein,q9bzs1,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc2275380'],['nan'],1,1,40,1,41
77,pak1,protein,q13153,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pi3k,protein,p42336,nan,nan,i,['nan'],['nan'],['pmc4487994'],['nan'],1,1,40,1,41
